,location,quarter,year,min_price,max_price,avg_price,latitude,longitude,Risk
0,100 Feet Ring Road,Jan-Mar,2024,6658.540375,12574.3369,9770.560714,12.9557,77.6013,Moderate
1,100 Feet Ring Road,Apr-Jun,2024,6740.005214,12728.17938,9890.1,12.9557,77.6013,Moderate
2,100 Feet Ring Road,Jul-Sep,2024,6756.91889,12760.12005,9914.918667,12.9557,77.6013,Moderate
3,100 Feet Ring Road,Oct-Dec,2024,6678.596142,12612.21126,9799.99,12.9557,77.6013,Moderate
28,11th Main Road Malleshwaram,Jan-Mar,2024,6293.284708,10599.70114,8591.45,13.00387758,77.57542389,Moderate
29,11th Main Road Malleshwaram,Apr-Jun,2024,6410.214567,10796.64465,8751.08,13.00387758,77.57542389,Moderate
30,11th Main Road Malleshwaram,Jul-Sep,2024,5948.565648,10019.09512,8120.847333,13.00387758,77.57542389,Moderate
31,11th Main Road Malleshwaram,Oct-Dec,2024,6528.241719,10995.43632,8912.208,13.00387758,77.57542389,Moderate
56,Aga Abbas Ali Road,Jan-Mar,2024,9788.173276,16359.68914,13112.83,12.977376,77.6176664,Low
57,Aga Abbas Ali Road,Apr-Jun,2024,9864.550831,16487.34453,13215.15,12.977376,77.6176664,Low
58,Aga Abbas Ali Road,Jul-Sep,2024,10099.87163,16880.65337,13530.4,12.977376,77.6176664,Low
59,Aga Abbas Ali Road,Oct-Dec,2024,9540.580713,15945.8696,12781.14,12.977376,77.6176664,Low
84,Akshayanagar,Jan-Mar,2024,4634.435871,7447.372627,6041.01,12.8694,77.6164,Moderate
85,Akshayanagar,Apr-Jun,2024,4536.162365,7289.450618,5912.91,12.8694,77.6164,Moderate
86,Akshayanagar,Jul-Sep,2024,4731.469131,7603.301605,6167.493333,12.8694,77.6164,Moderate
87,Akshayanagar,Oct-Dec,2024,7376.588908,11853.91445,9615.42,12.8694,77.6164,Moderate
112,Amrutahalli,Jan-Mar,2024,5620.449242,9047.837287,7334.12,13.0662319,77.6007646,Moderate
113,Amrutahalli,Apr-Jun,2024,5481.281409,8823.803968,7152.52,13.0662319,77.6007646,Moderate
114,Amrutahalli,Jul-Sep,2024,5706.800736,9186.846508,7446.8,13.0662319,77.6007646,Moderate
115,Amrutahalli,Oct-Dec,2024,5643.178966,9084.427751,7363.78,13.0662319,77.6007646,Moderate
140,Amruthahalli Main Road,Jan-Mar,2024,5708.100523,9149.639477,7428.87,13.06453992,77.60585116,Moderate
141,Amruthahalli Main Road,Apr-Jun,2024,5624.70194,9015.95806,7320.33,13.06453992,77.60585116,Moderate
142,Amruthahalli Main Road,Jul-Sep,2024,5840.298111,9361.541889,7600.92,13.06453992,77.60585116,Moderate
143,Amruthahalli Main Road,Oct-Dec,2024,5352.684561,8579.935439,6966.31,13.06453992,77.60585116,Moderate
168,Anekal Main Road,Jan-Mar,2024,3189.601985,5387.815829,4288.91,12.79737939,77.70639222,Moderate
169,Anekal Main Road,Apr-Jun,2024,3155.377559,5330.00457,4242.89,12.79737939,77.70639222,Moderate
170,Anekal Main Road,Jul-Sep,2024,3474.676631,5869.358571,4672.236667,12.79737939,77.70639222,Moderate
171,Anekal Main Road,Oct-Dec,2024,3696.11903,6243.414916,4970.0,12.79737939,77.70639222,Moderate
196,AnjanaPura,Jan-Mar,2024,3870.313377,5868.907438,4869.54,12.8580811,77.5580713,Moderate
197,AnjanaPura,Apr-Jun,2024,3826.980848,5803.198391,4815.02,12.8580811,77.5580713,Moderate
198,AnjanaPura,Jul-Sep,2024,4010.745638,6081.85762,5046.228667,12.8580811,77.5580713,Moderate
199,AnjanaPura,Oct-Dec,2024,4560.462594,6915.443332,5737.87,12.8580811,77.5580713,Moderate
224,Arekere,Jan-Mar,2024,4772.596449,7895.342303,6333.93,12.8872086,77.5960493,Moderate
225,Arekere,Apr-Jun,2024,4876.420783,8067.099682,6471.72,12.8872086,77.5960493,Moderate
226,Arekere,Jul-Sep,2024,4547.313442,7522.654926,6034.946667,12.8872086,77.5960493,Moderate
227,Arekere,Oct-Dec,2024,4279.779354,7080.071266,5679.89,12.8872086,77.5960493,Moderate
252,Attibele,Jan-Mar,2024,3624.224625,5808.755375,4716.49,12.77512485,77.77092155,Moderate
253,Attibele,Apr-Jun,2024,3436.577529,5508.002471,4472.29,12.77512485,77.77092155,Moderate
254,Attibele,Jul-Sep,2024,3398.364219,5446.755781,4422.56,12.77512485,77.77092155,Moderate
255,Attibele,Oct-Dec,2024,3380.029823,5417.370177,4398.7,12.77512485,77.77092155,Moderate
280,Avalahalli,Jan-Mar,2024,3593.934689,5288.636333,4441.15,13.0329471,77.73516828,Moderate
281,Avalahalli,Apr-Jun,2024,3492.836941,5139.866457,4316.22,13.0329471,77.73516828,Moderate
282,Avalahalli,Jul-Sep,2024,3627.752626,5338.400947,4482.94,13.0329471,77.73516828,Moderate
283,Avalahalli,Oct-Dec,2024,4088.094133,6015.814154,5051.8,13.0329471,77.73516828,Moderate
308,BTM Layout,Jan-Mar,2024,5379.809764,9426.917166,7403.341333,12.9151772,77.6102821,Moderate
309,BTM Layout,Apr-Jun,2024,5696.988084,9982.701456,7839.821333,12.9151772,77.6102821,Moderate
310,BTM Layout,Jul-Sep,2024,5723.396842,10028.97692,7876.163333,12.9151772,77.6102821,Moderate
311,BTM Layout,Oct-Dec,2024,5845.475518,10242.89258,8044.16,12.9151772,77.6102821,Moderate
336,Banashankari,Jan-Mar,2024,6307.005443,10876.17441,8591.64,12.93622,77.54246,Moderate
337,Banashankari,Apr-Jun,2024,7004.952699,12079.75607,9542.41,12.93622,77.54246,Moderate
338,Banashankari,Jul-Sep,2024,6783.192561,11697.33973,9240.32,12.93622,77.54246,Moderate
339,Banashankari,Oct-Dec,2024,6709.938086,11571.01537,9140.53,12.93622,77.54246,Moderate
364,Banaswadi,Jan-Mar,2024,6828.41114,11038.32332,8933.53,13.0141618,77.6518539,Moderate
365,Banaswadi,Apr-Jun,2024,7826.012402,12650.9745,10238.68,13.0141618,77.6518539,Moderate
366,Banaswadi,Jul-Sep,2024,5988.160525,9680.033992,7834.24,13.0141618,77.6518539,Moderate
367,Banaswadi,Oct-Dec,2024,6537.473725,10568.0146,8552.9,13.0141618,77.6518539,Moderate
392,Bangalore University Road,Jan-Mar,2024,6664.806875,10137.56675,8346.44,12.94702838,77.50255496,Low
393,Bangalore University Road,Apr-Jun,2024,7100.67153,10800.54276,8892.28,12.94702838,77.50255496,Low
394,Bangalore University Road,Jul-Sep,2024,6648.540073,10112.82398,8326.068833,12.94702838,77.50255496,Low
395,Bangalore University Road,Oct-Dec,2024,6734.046623,10242.88452,8433.15,12.94702838,77.50255496,Low
420,Bannerghatta Main Road,Jan-Mar,2024,5069.738192,8904.497662,6987.21,12.71771464,77.68741214,Moderate
421,Bannerghatta Main Road,Apr-Jun,2024,5232.208731,9189.861221,7211.13,12.71771464,77.68741214,Moderate
422,Bannerghatta Main Road,Jul-Sep,2024,5130.806131,9011.757505,7071.375,12.71771464,77.68741214,Moderate
423,Bannerghatta Main Road,Oct-Dec,2024,5664.476721,9949.09753,7806.89,12.71771464,77.68741214,Moderate
448,Bannerughatta,Jan-Mar,2024,6002.498493,9807.558153,7905.07,12.79811335,77.58437436,Moderate
449,Bannerughatta,Apr-Jun,2024,6289.287054,10276.14561,8282.76,12.79811335,77.58437436,Moderate
450,Bannerughatta,Jul-Sep,2024,6305.259406,10302.24304,8303.795,12.79811335,77.58437436,Moderate
451,Bannerughatta,Oct-Dec,2024,6372.432882,10411.99863,8392.26,12.79811335,77.58437436,Moderate
476,Basavanagudi,Jan-Mar,2024,8216.782883,13816.43407,11016.65,12.9417261,77.5755021,Moderate
477,Basavanagudi,Apr-Jun,2024,8363.514212,14063.16126,11213.38,12.9417261,77.5755021,Moderate
478,Basavanagudi,Jul-Sep,2024,8809.309543,14812.76143,11811.08,12.9417261,77.5755021,Moderate
479,Basavanagudi,Oct-Dec,2024,7855.350795,13208.68982,10532.06,12.9417261,77.5755021,Moderate
504,Begur Koppa Road,Jan-Mar,2024,4468.439787,7256.535054,5862.54,12.8645869,77.6176559,Moderate
505,Begur Koppa Road,Apr-Jun,2024,4568.295873,7418.696618,5993.55,12.8645869,77.6176559,Moderate
506,Begur Koppa Road,Jul-Sep,2024,4901.904071,7960.460568,6431.24,12.8645869,77.6176559,Moderate
507,Begur Koppa Road,Oct-Dec,2024,4930.943968,8007.619988,6469.34,12.8645869,77.6176559,Moderate
532,Begur Road,Jan-Mar,2024,4259.813183,7165.486027,5712.61,12.90438169,77.62740658,Moderate
533,Begur Road,Apr-Jun,2024,4278.828176,7197.471388,5738.11,12.90438169,77.62740658,Moderate
534,Begur Road,Jul-Sep,2024,4673.161836,7860.785061,6266.93,12.90438169,77.62740658,Moderate
535,Begur Road,Oct-Dec,2024,5245.311774,8823.205761,7034.21,12.90438169,77.62740658,Moderate
560,Belathur Main Road,Jan-Mar,2024,4700.537666,7597.862334,6149.2,13.0064138,77.7502347,High
561,Belathur Main Road,Apr-Jun,2024,4770.718562,7711.301438,6241.01,13.0064138,77.7502347,High
562,Belathur Main Road,Jul-Sep,2024,5379.031979,8694.568021,7036.8,13.0064138,77.7502347,High
563,Belathur Main Road,Oct-Dec,2024,5683.169578,9186.170422,7434.67,13.0064138,77.7502347,High
588,Bellandur,Jan-Mar,2024,6179.957437,10461.5442,8320.73,12.9361208,77.6671843,Moderate
589,Bellandur,Apr-Jun,2024,6145.614148,10403.40726,8274.49,12.9361208,77.6671843,Moderate
590,Bellandur,Jul-Sep,2024,7246.641859,12267.24696,9756.92,12.9361208,77.6671843,Moderate
591,Bellandur,Oct-Dec,2024,7281.950681,12327.01838,9804.46,12.9361208,77.6671843,Moderate
616,Bellary Road,Jan-Mar,2024,5484.865682,9516.004019,7500.48,12.9969763,77.5846071,High
617,Bellary Road,Apr-Jun,2024,5523.878863,9583.690196,7553.83,12.9969763,77.5846071,High
618,Bellary Road,Jul-Sep,2024,5782.929554,10033.13191,7908.078333,12.9969763,77.5846071,High
619,Bellary Road,Oct-Dec,2024,6339.718702,10999.13693,8669.48,12.9969763,77.5846071,High
644,Benson Town,Jan-Mar,2024,7871.191308,12899.48857,10385.4,12.997803,77.6041749,Moderate
645,Benson Town,Apr-Jun,2024,7652.344996,12540.83823,10096.65,12.997803,77.6041749,Moderate
646,Benson Town,Jul-Sep,2024,8524.367653,13969.92893,11247.21333,12.997803,77.6041749,Moderate
647,Benson Town,Oct-Dec,2024,8406.186855,13776.25153,11091.28333,12.997803,77.6041749,Moderate
672,Binny Pete,Jan-Mar,2024,8958.001876,11990.8414,10528.39,12.9706,77.602,Moderate
673,Binny Pete,Apr-Jun,2024,9151.747226,12250.18158,10756.1,12.9706,77.602,Moderate
674,Binny Pete,Jul-Sep,2024,9235.023438,12361.65195,10853.975,12.9706,77.602,Moderate
675,Binny Pete,Oct-Dec,2024,8013.223506,10726.19692,9417.986667,12.9706,77.602,Moderate
700,Block 1st Koramangala,Jan-Mar,2024,9716.211966,15146.63837,12431.46,12.9277245,77.6327822,Low
701,Block 1st Koramangala,Apr-Jun,2024,9566.24191,14912.84951,12239.58,12.9277245,77.6327822,Low
702,Block 1st Koramangala,Jul-Sep,2024,9943.023309,15500.21541,12721.655,12.9277245,77.6327822,Low
703,Block 1st Koramangala,Oct-Dec,2024,10112.53605,15764.46944,12938.539,12.9277245,77.6327822,Low
728,Bommanahalli,Jan-Mar,2024,3867.143275,6457.635998,5162.37,12.89878273,77.61864858,Moderate
729,Bommanahalli,Apr-Jun,2024,3935.326567,6571.493399,5253.39,12.89878273,77.61864858,Moderate
730,Bommanahalli,Jul-Sep,2024,4077.438765,6808.802644,5443.1,12.89878273,77.61864858,Moderate
731,Bommanahalli,Oct-Dec,2024,4503.655505,7520.530233,6012.07,12.89878273,77.61864858,Moderate
756,Bommasandra Jigani Link Road,Jan-Mar,2024,3745.789735,6216.750265,4981.27,12.79541211,77.65878294,High
757,Bommasandra Jigani Link Road,Apr-Jun,2024,3880.641384,6440.558616,5160.6,12.79541211,77.65878294,High
758,Bommasandra Jigani Link Road,Jul-Sep,2024,3876.603279,6433.856721,5155.23,12.79541211,77.65878294,High
759,Bommasandra Jigani Link Road,Oct-Dec,2024,3815.242131,6332.017869,5073.63,12.79541211,77.65878294,High
784,Borewell Road,Jan-Mar,2024,6446.363655,11061.71116,8754.1,12.9691992,77.7378529,Moderate
785,Borewell Road,Apr-Jun,2024,6738.412846,11562.85629,9150.7,12.9691992,77.7378529,Moderate
786,Borewell Road,Jul-Sep,2024,7125.020879,12226.26075,9675.71,12.9691992,77.7378529,Moderate
787,Borewell Road,Oct-Dec,2024,6277.489119,10771.92897,8524.77,12.9691992,77.7378529,Moderate
812,Brookefield,Jan-Mar,2024,6187.014559,10681.26359,8434.28,12.9643,77.732,Moderate
813,Brookefield,Apr-Jun,2024,6576.701378,11354.01902,8965.51,12.9643,77.732,Moderate
814,Brookefield,Jul-Sep,2024,6791.02436,11724.02627,9257.68,12.9643,77.732,Moderate
815,Brookefield,Oct-Dec,2024,6304.229431,10883.62338,8594.07,12.9643,77.732,Moderate
840,Budigere,Jan-Mar,2024,5840.015981,8166.31508,7003.1,13.1351506,77.7471989,High
841,Budigere,Apr-Jun,2024,6059.61179,8473.3842,7266.43,13.1351506,77.7471989,High
842,Budigere,Jul-Sep,2024,6393.464466,8940.223016,7666.772,13.1351506,77.7471989,High
843,Budigere,Oct-Dec,2024,6907.131694,9658.503316,8282.74,13.1351506,77.7471989,High
868,Byatarayanapura,Jan-Mar,2024,6646.536608,12213.9138,9536.68,13.0666526,77.591967,Moderate
869,Byatarayanapura,Apr-Jun,2024,6832.641696,12555.90717,9803.71,13.0666526,77.591967,Moderate
870,Byatarayanapura,Jul-Sep,2024,6886.009872,12653.97845,9880.2845,13.0666526,77.591967,Moderate
871,Byatarayanapura,Oct-Dec,2024,6478.01543,11904.23324,9294.88,13.0666526,77.591967,Moderate
896,CV Raman Nagar,Jan-Mar,2024,4357.068301,7752.208132,6054.58,12.9866,77.6559,Moderate
897,CV Raman Nagar,Apr-Jun,2024,4511.875494,8027.645076,6269.7,12.9866,77.6559,Moderate
898,CV Raman Nagar,Jul-Sep,2024,4815.970303,8568.698392,6692.27,12.9866,77.6559,Moderate
899,CV Raman Nagar,Oct-Dec,2024,5242.884672,9328.275432,7285.51,12.9866,77.6559,Moderate
924,Cambridge Road,Jan-Mar,2024,9025.700619,14664.19788,11844.25,12.9725,77.6172,Low
925,Cambridge Road,Apr-Jun,2024,8898.083076,14456.85565,11676.78,12.9725,77.6172,Low
926,Cambridge Road,Jul-Sep,2024,9368.637998,15221.37364,12294.28,12.9725,77.6172,Low
927,Cambridge Road,Oct-Dec,2024,6425.174081,10439.08148,8431.63,12.9725,77.6172,Low
952,Carmelaram,Jan-Mar,2024,7440.74818,11379.09573,9492.89,12.9111998,77.7065133,Moderate
953,Carmelaram,Apr-Jun,2024,7270.321484,11118.46311,9275.46,12.9111998,77.7065133,Moderate
954,Carmelaram,Jul-Sep,2024,7109.543653,10872.58645,9070.34,12.9111998,77.7065133,Moderate
955,Carmelaram,Oct-Dec,2024,6837.956725,10457.25003,8723.85,12.9111998,77.7065133,Moderate
980,Chandapura,Jan-Mar,2024,3562.473519,5389.664978,4850.97,12.8009043,77.71149079,High
981,Chandapura,Apr-Jun,2024,3462.112636,5237.829033,4714.31,12.8009043,77.71149079,High
982,Chandapura,Jul-Sep,2024,3851.5698,5827.038644,5244.628333,12.8009043,77.71149079,High
