,location,year,quarter,predicted_price
1,100 feet ring road,2025,Apr-Jun,9942.09
0,100 feet ring road,2025,Jan-Mar,9942.09
2,100 feet ring road,2025,Jul-Sep,9942.09
3,100 feet ring road,2025,Oct-Dec,9942.09
5,100 feet ring road,2026,Apr-Jun,10086.25
4,100 feet ring road,2026,Jan-Mar,10086.25
6,100 feet ring road,2026,Jul-Sep,10086.25
7,100 feet ring road,2026,Oct-Dec,10086.25
9,100 feet ring road,2027,Apr-Jun,10232.5
8,100 feet ring road,2027,Jan-Mar,10232.5
10,100 feet ring road,2027,Jul-Sep,10232.5
11,100 feet ring road,2027,Oct-Dec,10232.5
13,100 feet ring road,2028,Apr-Jun,10380.87
12,100 feet ring road,2028,Jan-Mar,10380.87
14,100 feet ring road,2028,Jul-Sep,10380.87
15,100 feet ring road,2028,Oct-Dec,10380.87
17,100 feet ring road,2029,Apr-Jun,10531.39
16,100 feet ring road,2029,Jan-Mar,10531.39
18,100 feet ring road,2029,Jul-Sep,10531.39
19,100 feet ring road,2029,Oct-Dec,10531.39
21,100 feet ring road,2030,Apr-Jun,10684.1
20,100 feet ring road,2030,Jan-Mar,10684.1
22,100 feet ring road,2030,Jul-Sep,10684.1
23,100 feet ring road,2030,Oct-Dec,10684.1
25,11th main road malleshwaram,2025,Apr-Jun,9719.98
24,11th main road malleshwaram,2025,Jan-Mar,9719.98
26,11th main road malleshwaram,2025,Jul-Sep,9719.98
27,11th main road malleshwaram,2025,Oct-Dec,9719.98
29,11th main road malleshwaram,2026,Apr-Jun,10600.96
28,11th main road malleshwaram,2026,Jan-Mar,10600.96
30,11th main road malleshwaram,2026,Jul-Sep,10600.96
31,11th main road malleshwaram,2026,Oct-Dec,10600.96
33,11th main road malleshwaram,2027,Apr-Jun,11561.79
32,11th main road malleshwaram,2027,Jan-Mar,11561.79
34,11th main road malleshwaram,2027,Jul-Sep,11561.79
35,11th main road malleshwaram,2027,Oct-Dec,11561.79
37,11th main road malleshwaram,2028,Apr-Jun,12609.71
36,11th main road malleshwaram,2028,Jan-Mar,12609.71
38,11th main road malleshwaram,2028,Jul-Sep,12609.71
39,11th main road malleshwaram,2028,Oct-Dec,12609.71
41,11th main road malleshwaram,2029,Apr-Jun,13752.61
40,11th main road malleshwaram,2029,Jan-Mar,13752.61
42,11th main road malleshwaram,2029,Jul-Sep,13752.61
43,11th main road malleshwaram,2029,Oct-Dec,13752.61
45,11th main road malleshwaram,2030,Apr-Jun,14999.09
44,11th main road malleshwaram,2030,Jan-Mar,14999.09
46,11th main road malleshwaram,2030,Jul-Sep,14999.09
47,11th main road malleshwaram,2030,Oct-Dec,14999.09
49,aga abbas ali road,2025,Apr-Jun,13863.93
48,aga abbas ali road,2025,Jan-Mar,13863.93
50,aga abbas ali road,2025,Jul-Sep,13863.93
51,aga abbas ali road,2025,Oct-Dec,13863.93
53,aga abbas ali road,2026,Apr-Jun,15038.45
52,aga abbas ali road,2026,Jan-Mar,15038.45
54,aga abbas ali road,2026,Jul-Sep,15038.45
55,aga abbas ali road,2026,Oct-Dec,15038.45
57,aga abbas ali road,2027,Apr-Jun,16312.48
56,aga abbas ali road,2027,Jan-Mar,16312.48
58,aga abbas ali road,2027,Jul-Sep,16312.48
59,aga abbas ali road,2027,Oct-Dec,16312.48
61,aga abbas ali road,2028,Apr-Jun,17694.43
60,aga abbas ali road,2028,Jan-Mar,17694.43
62,aga abbas ali road,2028,Jul-Sep,17694.43
63,aga abbas ali road,2028,Oct-Dec,17694.43
65,aga abbas ali road,2029,Apr-Jun,19193.47
64,aga abbas ali road,2029,Jan-Mar,19193.47
66,aga abbas ali road,2029,Jul-Sep,19193.47
67,aga abbas ali road,2029,Oct-Dec,19193.47
69,aga abbas ali road,2030,Apr-Jun,20819.49
68,aga abbas ali road,2030,Jan-Mar,20819.49
70,aga abbas ali road,2030,Jul-Sep,20819.49
71,aga abbas ali road,2030,Oct-Dec,20819.49
73,akshayanagar,2025,Apr-Jun,10601.74
72,akshayanagar,2025,Jan-Mar,10601.74
74,akshayanagar,2025,Jul-Sep,10601.74
75,akshayanagar,2025,Oct-Dec,10601.74
77,akshayanagar,2026,Apr-Jun,11689.23
76,akshayanagar,2026,Jan-Mar,11689.23
78,akshayanagar,2026,Jul-Sep,11689.23
79,akshayanagar,2026,Oct-Dec,11689.23
81,akshayanagar,2027,Apr-Jun,12888.27
80,akshayanagar,2027,Jan-Mar,12888.27
82,akshayanagar,2027,Jul-Sep,12888.27
83,akshayanagar,2027,Oct-Dec,12888.27
85,akshayanagar,2028,Apr-Jun,14210.31
84,akshayanagar,2028,Jan-Mar,14210.31
86,akshayanagar,2028,Jul-Sep,14210.31
87,akshayanagar,2028,Oct-Dec,14210.31
89,akshayanagar,2029,Apr-Jun,15667.96
88,akshayanagar,2029,Jan-Mar,15667.96
90,akshayanagar,2029,Jul-Sep,15667.96
91,akshayanagar,2029,Oct-Dec,15667.96
93,akshayanagar,2030,Apr-Jun,17275.13
92,akshayanagar,2030,Jan-Mar,17275.13
94,akshayanagar,2030,Jul-Sep,17275.13
95,akshayanagar,2030,Oct-Dec,17275.13
97,amrutahalli,2025,Apr-Jun,7856.21
96,amrutahalli,2025,Jan-Mar,7856.21
98,amrutahalli,2025,Jul-Sep,7856.21
99,amrutahalli,2025,Oct-Dec,7856.21
101,amrutahalli,2026,Apr-Jun,8381.57
100,amrutahalli,2026,Jan-Mar,8381.57
102,amrutahalli,2026,Jul-Sep,8381.57
103,amrutahalli,2026,Oct-Dec,8381.57
105,amrutahalli,2027,Apr-Jun,8942.06
104,amrutahalli,2027,Jan-Mar,8942.06
106,amrutahalli,2027,Jul-Sep,8942.06
107,amrutahalli,2027,Oct-Dec,8942.06
109,amrutahalli,2028,Apr-Jun,9540.04
108,amrutahalli,2028,Jan-Mar,9540.04
110,amrutahalli,2028,Jul-Sep,9540.04
111,amrutahalli,2028,Oct-Dec,9540.04
113,amrutahalli,2029,Apr-Jun,10178.0
112,amrutahalli,2029,Jan-Mar,10178.0
114,amrutahalli,2029,Jul-Sep,10178.0
115,amrutahalli,2029,Oct-Dec,10178.0
117,amrutahalli,2030,Apr-Jun,10858.62
116,amrutahalli,2030,Jan-Mar,10858.62
118,amrutahalli,2030,Jul-Sep,10858.62
119,amrutahalli,2030,Oct-Dec,10858.62
121,anjanapura,2025,Apr-Jun,6170.14
