Locality,Start_Price,End_Price,Quarterly_Growth,Quarterly Growth (%),CAGR,CAGR (%)
100 feet ring road,9300.0,10139.0,0.0036054412649901835,0.3605,0.014499947940737501,1.45
jakkuru layout,5300.0,9448.0,0.024379787511151774,2.438,0.10114371041073933,10.11
rajajinagar,9219.0,18416.0,0.029251034402517417,2.9251,0.12223871921534202,12.22
thanisandra,5163.0,10459.0,0.02985125265169608,2.9851,0.12485878985115972,12.49
jalahalli,5601.0,7675.0,0.013212487798887507,1.3212,0.053906626680390035,5.39
channasandra,7025.0,9900.0,0.014396797421722285,1.4397,0.05884277527156501,5.88
jalahalli west,5116.0,6598.0,0.010656113273115109,1.0656,0.043310622611093974,4.33
rachenahalli main road,5500.0,12218.0,0.033815945250591284,3.3816,0.14228087414432333,14.23
chandapura anekal road,4246.0,5129.0,0.007903290128506546,0.7903,0.03198991100572868,3.2
thanisandra main road,5715.0,10268.0,0.024714545805014643,2.4715,0.10258379239923299,10.26
chandapura,4010.0,4932.0,0.00866034164170526,0.866,0.03509397945121018,3.51
jayanagar,10180.0,13829.0,0.012846095584546635,1.2846,0.05238302216347601,5.24
rachenahalli,5740.0,10587.0,0.02583507097803417,2.5835,0.10741440932219337,10.74
jcr layout,7710.0,13189.0,0.022621443862988144,2.2621,0.09360271991469626,9.36
thimmaiah road,14570.0,17756.0,0.008273994629618864,0.8274,0.03350900284506175,3.35
jigani,2200.0,4685.0,0.031997443476918574,3.1997,0.13426488107093193,13.43
cambridge road,9723.0,15024.0,0.018296818875940923,1.8297,0.07522053022929054,7.52
queens road,12917.0,17573.0,0.012908410097530965,1.2908,0.05264203402341727,5.26
byatarayanapura,7561.0,12182.0,0.020071952518725178,2.0072,0.08273761867341922,8.27
thubarahalli,5611.0,7721.0,0.013389468933901805,1.3389,0.0546431768884863,5.46
jp nagar,5507.0,9597.0,0.023412814840147345,2.3413,0.09699185509714625,9.7
budigere road,5200.0,9699.0,0.02631375771877087,2.6314,0.10948287342437335,10.95
channasandra main road,6095.0,9000.0,0.016372408302202546,1.6372,0.06711559445736559,6.71
chellikere,4850.0,9731.0,0.029439090629387987,2.9439,0.12305912869557978,12.31
huskur road,4800.0,6528.0,0.01289428602324838,1.2894,0.05258332275924493,5.26
jakkur road,6225.0,7556.0,0.008106367911520529,0.8106,0.03282188595013502,3.28
hutchins road,9500.0,12206.0,0.01049787992433604,1.0498,0.04265739243573341,4.27
chunchgatta main road,6100.0,8800.0,0.015386460812545133,1.5386,0.06298092891394913,6.3
choodasandra,4800.0,8399.0,0.023586220984327833,2.3586,0.09773553732528839,9.77
rashtriya vidyalaya road,9375.0,11937.0,0.010117348102347545,1.0117,0.04108770975951037,4.11
immadihalli,5223.0,12745.0,0.037868885289772836,3.7869,0.16029913637853865,16.03
thalaghattapura main road,4650.0,9085.0,0.028299597428198764,2.83,0.11809489126774575,11.81
indiranagar,10300.0,15695.0,0.01770483382698118,1.7705,0.0727223995204973,7.27
ramamurthy nagar,4495.0,5854.0,0.011067442665235738,1.1067,0.04501013791559383,4.5
itpl,6728.0,13060.0,0.028021939141316787,2.8022,0.11688776215461205,11.69
thambu chetty palya,4238.0,8000.0,0.02682644050362759,2.6826,0.11170145082301852,11.17
chikkakannalli,8150.0,12239.0,0.017086399411150976,1.7086,0.07011730630410584,7.01
jakkur,5524.0,9238.0,0.02165714985107625,2.1657,0.08948364383082064,8.95
thambu chetty palya main road,5000.0,9500.0,0.027104739804462152,2.7105,0.11290715229536152,11.29
thambu chetty palya main road,5000.0,9000.0,0.024793481715973398,2.4793,0.10292356902673916,10.29
ramagondanahalli whitefield,6744.0,13073.0,0.02796281299059067,2.7963,0.11663083543068109,11.66
pulikeshi nagar,8867.0,13200.0,0.016716529559046567,1.6717,0.06856153571312751,6.86
budigere cross,4776.0,9605.0,0.029539571329124215,2.954,0.12349766766711667,12.35
kalkere main road,2879.0,5613.0,0.028208975753387877,2.8209,0.11770080285788098,11.77
block 9th jayanagara,8363.0,16250.0,0.02806475257181784,2.8065,0.11707383127241755,11.71
block 9th jayanagara,8363.0,15627.0,0.02639153862288368,2.6392,0.10981924771940776,10.98
