,Locality,Start_Price,End_Price,CAGR,CAGR (%)
0,90 feet road,15500.0,22666.0,0.06538652053455563,6.54
1,aarey road,15600.0,21545.0,0.05528634039827374,5.53
2,adi shankaracharya marg,26700.0,22462.0,-0.02839547909268325,-2.84
3,agripada,30110.0,24323.0,-0.03494722461782307,-3.49
4,akurli nagar,13473.0,20989.0,0.0766831248610711,7.67
5,akurli road,8000.0,20392.0,0.1687679824614441,16.88
6,ambedkar road,9000.0,18806.0,0.13068679552963314,13.07
7,amboli,21256.0,22588.0,0.010181411993017697,1.02
8,andheri,21148.0,26188.0,0.036268201442305914,3.63
9,andheri east,17907.0,21975.0,0.03470768577048955,3.47
10,andheri kurla road,13000.0,21801.0,0.089989155533994,9.0
11,andheri west,22867.0,27506.0,0.031263644812540514,3.13
12,antop hill road,4000.0,27117.0,0.3757207093602897,37.57
13,azad nagar andheri west,17670.0,23892.0,0.05156468528802072,5.16
14,babrekar nagar kandivali west,6250.0,15368.0,0.1617773068326116,16.18
15,bandra,33315.0,36504.0,0.015352337637422497,1.54
16,bandra east,29840.0,32957.0,0.01669684422771822,1.67
17,bandra kurla complex,30153.0,41451.0,0.054469641454381934,5.45
18,bandra west,42256.0,43608.0,0.005262844401851652,0.53
19,bangur nagar,17987.0,24040.0,0.049532652770570174,4.95
20,best nagar goregaon west,17334.0,22249.0,0.042482125608946486,4.25
21,bhandup,14863.0,17323.0,0.025855295408551804,2.59
22,bhandup east,15470.0,18848.0,0.03346512720579775,3.35
23,bhandup west,14916.0,16848.0,0.020507019953240446,2.05
24,bhaudaji road,11700.0,37957.0,0.2167023205307499,21.67
25,bhayandar,8567.0,9507.0,0.01750320960490992,1.75
26,bhayandar east,7981.0,9210.0,0.02415821572775556,2.42
27,bhayandar west,8800.0,10430.0,0.02872731793689165,2.87
28,bolinj road,4250.0,5997.0,0.05906883044757172,5.91
29,bolinj sopara road,3875.0,5407.0,0.057095223476195,5.71
30,boraspada road,16400.0,18660.0,0.021749965910256464,2.17
31,borivali,16446.0,22063.0,0.05018879397906639,5.02
32,borivali east,15425.0,21374.0,0.05586916066102776,5.59
33,borivali west,17343.0,22908.0,0.047475382446766634,4.75
34,breach candy,59257.0,55347.0,-0.011312437583002044,-1.13
35,byculla,28433.0,37590.0,0.04763083712488991,4.76
36,byculla east,18500.0,34237.0,0.10803631872590835,10.8
37,byculla west,20500.0,40935.0,0.12216526670356176,12.22
38,captain prakash pethe marg,18500.0,58035.0,0.20990993641402733,20.99
39,cd barfiwala road,21100.0,26714.0,0.04010235024922526,4.01
40,chakala,19256.0,24678.0,0.0422149864291983,4.22
41,chandavarkar road,16800.0,23011.0,0.05383115839371855,5.38
42,chandivali,18040.0,21278.0,0.02789569040795703,2.79
43,chandivali farm road,15800.0,21337.0,0.05134691588611795,5.13
44,charkop gaon,13144.0,15911.0,0.03235322990098988,3.24
45,chembur,18628.0,22912.0,0.035101159866893994,3.51
46,chembur east,16900.0,23502.0,0.05650044963573264,5.65
47,chhatrapati shivaji maharaj international airport road,23000.0,37693.0,0.08581410281613122,8.58
48,chincholi bunder,7000.0,20233.0,0.19351268795931853,19.35
49,chincholi bunder road,10250.0,20439.0,0.12190468870336679,12.19
50,chinchpokli,17750.0,30581.0,0.09490276932918285,9.49
51,chunabhatti,17100.0,23566.0,0.05490890999532905,5.49
52,colaba,41130.0,39681.0,-0.0059597197487880615,-0.6
53,cuffe parade,59784.0,56281.0,-0.01001304334842934,-1.0
54,cumballa hill,57295.0,54931.0,-0.006997983890133397,-0.7
55,dadar,32099.0,39717.0,0.03612977879973167,3.61
56,dadar east,30278.0,37123.0,0.03455276743331681,3.46
57,dadar west,34329.0,41046.0,0.030231792824362502,3.02
58,dahanukar wadi,15523.0,19200.0,0.03606641334871541,3.61
59,dahisar,13610.0,17561.0,0.04339444354345923,4.34
60,dahisar east,12286.0,16193.0,0.04709511659560772,4.71
61,dahisar west,15092.0,19752.0,0.04586921565423552,4.59
62,dattapada,15843.0,24846.0,0.07787858387861957,7.79
