Locality,Quarter,Price Range,Average Price,Q-o-Q,Growth Type,City,Type
100 Feet Road,Oct-Dec 2024,"5,933 - 8,858","7,395",1%,,,
100 Feet Road,Jul-Sep 2024,"5,971 - 8,910","7,440",2%,,,
100 Feet Road,Apr-Jun 2024,"5,791 - 8,792","7,292",1%,,,
100 Feet Road,Jan-Mar 2024,"5,718 - 8,678","7,198",3%,,,
100 Feet Road,Oct-Dec 2023,"5,570 - 8,424","6,997",-,,,
100 Feet Road,Jul-Sep 2023,"5,514 - 8,473","6,994",2%,,,
100 Feet Road,Apr-Jun 2023,"5,284 - 8,396","6,840",-,,,
100 Feet Road,Jan-Mar 2023,"5,150 - 8,200","6,675",2%,,,
100 Feet Road,Oct-Dec 2022,"5,050 - 8,000","6,545",2%,,,
100 Feet Road,Jul-Sep 2022,"4,950 - 7,820","6,420",2%,,,
100 Feet Road,Apr-Jun 2022,"4,850 - 7,650","6,300",1.50%,,,
100 Feet Road,Jan-Mar 2022,"4,775 - 7,540","6,205",2%,,,
100 Feet Road,Oct-Dec 2021,"4,680 - 7,340","6,090",1.50%,,,
100 Feet Road,Jul-Sep 2021,"4,590 - 7,250","6,000",2%,,,
100 Feet Road,Apr-Jun 2021,"4,500 - 7,100","5,880",1.50%,,,
100 Feet Road,Jan-Mar 2021,"4,430 - 7,000","5,785",2%,,,
100 Feet Road,Oct-Dec 2020,"4,350 - 6,850","5,685",-,,,
100 Feet Road,Jul-Sep 2020,"4,300 - 6,750","5,600",-,,,
100 Feet Road,Apr-Jun 2020,"4,250 - 6,600","5,475",-,,,
100 Feet Road,Jan-Mar 2020,"4,200 - 6,500","5,350",-,,,
100 Feet Road,Oct-Dec 2019,"4,100 - 6,350","5,225",2%,,,
100 Feet Road,Jul-Sep 2019,"4,000 - 6,200","5,100",2%,,,
100 Feet Road,Apr-Jun 2019,"3,900 - 6,000","4,950",2%,,,
100 Feet Road,Jan-Mar 2019,"3,850 - 5,900","4,875",1.50%,,,
100 Feet Road,Oct-Dec 2018,"3,800 - 5,750","4,775",1.50%,,,
100 Feet Road,Jul-Sep 2018,"3,700 - 5,600","4,650",2%,,,
100 Feet Road,Apr-Jun 2018,"3,600 - 5,450","4,525",2%,,,
100 Feet Road,Jan-Mar 2018,"3,500 - 5,300","4,400",2%,,,
100 Feet Road,Oct-Dec 2017,"3,430 - 5,100","4,265",1.50%,,,
