location,year,quarter,avg_price,max_price,min_price
100 Feet Anand Nagar Road,2024,Jan-Mar,6577.319999999994,8025.845023734969,4940.131318048678
100 Feet Anand Nagar Road,2024,Apr-Jun,6683.940000000004,8155.945976164029,5020.212080597922
100 Feet Anand Nagar Road,2024,Jul-Sep,6809.8790000000035,8309.620557367947,5114.803068730434
100 Feet Anand Nagar Road,2024,Oct-Dec,6742.39999999999,8227.28063831935,5064.120553479439
100 Feet Anand Nagar Road,2025,Jan-Mar,7044.720000000007,8596.180656499351,5291.188797091208
100 Feet Anand Nagar Road,2025,Apr-Jun,7100.5466666666725,8664.302045584627,5333.119410833927
100 Feet Anand Nagar Road,2025,Jul-Sep,6316.685666666663,7707.811118254043,4744.372584604245
100 Feet Anand Nagar Road,2025,Oct-Dec,5499.158333333329,6710.239511581317,4130.339455189708
100 Feet Anand Nagar Road,2026,Jan-Mar,5306.249999999998,6474.846922028076,3985.448755176243
100 Feet Anand Nagar Road,2026,Apr-Jun,5345.029999999999,6522.1674522775465,4014.5758605191386
100 Feet Anand Nagar Road,2026,Jul-Sep,5428.4999999999945,6624.020073729919,4077.2689879810077
100 Feet Anand Nagar Road,2026,Oct-Dec,5506.699999999995,6719.442081607913,4136.0038935461025
100 Feet Anand Nagar Road,2027,Jan-Mar,5516.020000000002,6730.8146278153745,4143.004012725989
100 Feet Anand Nagar Road,2027,Apr-Jun,5538.989999999999,6758.8433173416815,4160.256452378547
100 Feet Anand Nagar Road,2027,Jul-Sep,5585.279999999998,6815.327776992221,4195.024211695787
100 Feet Anand Nagar Road,2027,Oct-Dec,5630.58,6870.604208665791,4229.048396121604
100 Feet Anand Nagar Road,2028,Jan-Mar,5796.33,7072.857377537623,4353.540859004141
100 Feet Anand Nagar Road,2028,Apr-Jun,5839.179999999998,7125.144245025752,4385.724883345115
100 Feet Anand Nagar Road,2028,Jul-Sep,5886.4,7182.76351883648,4421.191152408847
100 Feet Anand Nagar Road,2028,Oct-Dec,5993.149999999999,7313.023101201897,4501.369556105443
100 Feet Anand Nagar Road,2029,Jan-Mar,6076.009999999997,7414.131382183614,4563.604521260476
100 Feet Anand Nagar Road,2029,Apr-Jun,6109.8300000000045,7455.399570245435,4589.006241288762
100 Feet Anand Nagar Road,2029,Jul-Sep,6225.145000000004,7596.11042495708,4675.617694424808
100 Feet Anand Nagar Road,2029,Oct-Dec,6332.250000000003,7726.803189071814,4756.0627335622685
100 Feet Anand Nagar Road,2030,Jan-Mar,6577.319999999994,8025.845023734969,4940.131318048678
100 Feet Anand Nagar Road,2030,Apr-Jun,6683.940000000004,8155.945976164029,5020.212080597922
100 Feet Anand Nagar Road,2030,Jul-Sep,6809.8790000000035,8309.620557367947,5114.803068730434
100 Feet Anand Nagar Road,2030,Oct-Dec,6742.39999999999,8227.28063831935,5064.120553479439
100 Feet Road,2024,Jan-Mar,6691.039999999993,8205.055197385142,5179.514754423716
100 Feet Road,2024,Apr-Jun,6776.509999999999,8309.8649231857,5245.676834767076
100 Feet Road,2024,Jul-Sep,6858.649999999996,8410.591153175834,5309.261171720426
100 Feet Road,2024,Oct-Dec,6707.719999999991,8225.509464687739,5192.426694287143
100 Feet Road,2025,Jan-Mar,7129.049999999999,8742.175918081286,5518.577031376951
100 Feet Road,2025,Apr-Jun,7173.732499999997,8796.968951579389,5553.1656256783635
100 Feet Road,2025,Jul-Sep,6922.560833333326,8488.963411481098,5358.7343633644
100 Feet Road,2025,Oct-Dec,5697.129999999997,6986.2481941041815,4410.131891734321
100 Feet Road,2026,Jan-Mar,5482.750000000002,6723.359355715023,4244.180952410488
100 Feet Road,2026,Apr-Jun,5519.099999999999,6767.934452624462,4272.319382508543
100 Feet Road,2026,Jul-Sep,5583.2499999999945,6846.59999503823,4321.977712378975
100 Feet Road,2026,Oct-Dec,5641.0999999999985,6917.540004837718,4366.7592304304935
100 Feet Road,2027,Jan-Mar,5592.970000000003,6858.519388214575,4329.5019363281735
100 Feet Road,2027,Apr-Jun,5625.270000000001,6898.128071300542,4354.505273114066
100 Feet Road,2027,Jul-Sep,5702.2,6992.465408446162,4414.056564102882
100 Feet Road,2027,Oct-Dec,5758.95,7062.056515725689,4457.986575328871
100 Feet Road,2028,Jan-Mar,5827.980000000004,7146.706280227998,4511.422499116189
100 Feet Road,2028,Apr-Jun,5863.23,7189.932474617479,4538.709422388716
100 Feet Road,2028,Jul-Sep,5934.95,7277.880918918583,4594.227667412998
100 Feet Road,2028,Oct-Dec,6021.549999999998,7384.076335489631,4661.2644774953005
100 Feet Road,2029,Jan-Mar,6157.86999999999,7551.242145962663,4766.7893960913625
100 Feet Road,2029,Apr-Jun,6178.739999999993,7576.834505591279,4782.944802862932
100 Feet Road,2029,Jul-Sep,6289.7900000000045,7713.0123463559,4868.90828738534
100 Feet Road,2029,Oct-Dec,6385.400000000003,7830.256500840403,4942.919712465813
100 Feet Road,2030,Jan-Mar,6691.039999999993,8205.055197385142,5179.514754423716
100 Feet Road,2030,Apr-Jun,6776.509999999999,8309.8649231857,5245.676834767076
100 Feet Road,2030,Jul-Sep,6858.649999999996,8410.591153175834,5309.261171720426
100 Feet Road,2030,Oct-Dec,6707.719999999991,8225.509464687739,5192.426694287143
100 Feet Road,2024,Jan-Mar,6691.039999999993,8205.055197385142,5179.514754423716
100 Feet Road,2024,Apr-Jun,6776.509999999999,8309.8649231857,5245.676834767076
100 Feet Road,2024,Jul-Sep,6858.649999999996,8410.591153175834,5309.261171720426
100 Feet Road,2024,Oct-Dec,6707.719999999991,8225.509464687739,5192.426694287143
100 Feet Road,2025,Jan-Mar,7129.049999999999,8742.175918081286,5518.577031376951
100 Feet Road,2025,Apr-Jun,7173.732499999997,8796.968951579389,5553.1656256783635
100 Feet Road,2025,Jul-Sep,6922.560833333326,8488.963411481098,5358.7343633644
100 Feet Road,2025,Oct-Dec,5697.129999999997,6986.2481941041815,4410.131891734321
100 Feet Road,2026,Jan-Mar,5482.750000000002,6723.359355715023,4244.180952410488
100 Feet Road,2026,Apr-Jun,5519.099999999999,6767.934452624462,4272.319382508543
100 Feet Road,2026,Jul-Sep,5583.2499999999945,6846.59999503823,4321.977712378975
100 Feet Road,2026,Oct-Dec,5641.0999999999985,6917.540004837718,4366.7592304304935
100 Feet Road,2027,Jan-Mar,5592.970000000003,6858.519388214575,4329.5019363281735
100 Feet Road,2027,Apr-Jun,5625.270000000001,6898.128071300542,4354.505273114066
100 Feet Road,2027,Jul-Sep,5702.2,6992.465408446162,4414.056564102882
100 Feet Road,2027,Oct-Dec,5758.95,7062.056515725689,4457.986575328871
100 Feet Road,2028,Jan-Mar,5827.980000000004,7146.706280227998,4511.422499116189
100 Feet Road,2028,Apr-Jun,5863.23,7189.932474617479,4538.709422388716
100 Feet Road,2028,Jul-Sep,5934.95,7277.880918918583,4594.227667412998
100 Feet Road,2028,Oct-Dec,6021.549999999998,7384.076335489631,4661.2644774953005
100 Feet Road,2029,Jan-Mar,6157.86999999999,7551.242145962663,4766.7893960913625
100 Feet Road,2029,Apr-Jun,6178.739999999993,7576.834505591279,4782.944802862932
100 Feet Road,2029,Jul-Sep,6289.7900000000045,7713.0123463559,4868.90828738534
100 Feet Road,2029,Oct-Dec,6385.400000000003,7830.256500840403,4942.919712465813
100 Feet Road,2030,Jan-Mar,6691.039999999993,8205.055197385142,5179.514754423716
100 Feet Road,2030,Apr-Jun,6776.509999999999,8309.8649231857,5245.676834767076
