Location,Latitude,Longitude
100 Feet Anand Nagar Road,,
100 Feet Road,25.0567496,73.8853529
100 Feet Road,25.0567496,73.8853529
120 Feet Ring Road,23.039482950090953,72.54875803151484
132 Feet Ring Road,23.039482950090953,72.54875803151484
Aarohi Club Road,,
Airport Road,23.078383638962723,72.61851301082231
Ambawadi,23.0226117,72.5490834
Ambawadi,23.0226117,72.5490834
Ambli,23.02871785,72.48164295008098
Ambli,23.02871785,72.48164295008098
Ambli Bopal Road,23.027559667252962,72.50430922375548
Ambli Bopal Road,23.027559667252962,72.50430922375548
Ambli Road,23.0535306,72.4934085
Ambli Road,23.0535306,72.4934085
Anand Nagar Prahlad Nagar,,
Anand Nagar Prahlad Nagar,,
Ashram Road,23.024602493644654,72.57122733696
Ashram Road,23.024602493644654,72.57122733696
Ashram Road Area,,
Balol Nagar Cross Road,23.0801307,72.5686829
Bhadaj,23.0868734,72.4835036
Boakdev,,
Bodakdev,23.0445921,72.517344
Bopal,23.023538549999998,72.47052697610516
Bopal,23.023538549999998,72.47052697610516
Bopal Ghuma Road,23.030364685123153,72.45322627039673
Bopal Road,23.027945435325613,72.49726994089141
Chanakyapuri,23.086171,72.534872
Chandkheda,23.1100643,72.5811205
Chandlodiya,23.0751633,72.5440359
Chandlodiya Road,23.0751633,72.5440359
Chenpur Road,23.1029936,72.5697277
Chharodi,23.0393458,72.2748933
Chharodi,23.0393458,72.2748933
Chimanlal Girdharlal Road,23.01931898762914,72.55759224734254
Chimanlal Girdharlal Road,23.01931898762914,72.55759224734254
Corporate Road,23.00299856260216,72.50336605818352
Corporate Road,23.00299856260216,72.50336605818352
Daskroi,22.95382345,72.75027555946319
Daxini Society,,
Dev Kutir 1,,
Devnagar,,
Drive In Road,23.044773479930587,72.54382604116614
Drive In Road,23.044773479930587,72.54382604116614
Ellisbridge,23.02309165,72.57198405375046
Friends Colony Bodakdev,,
Friends Colony Bodakdev,,
Gala Gymkhana Road,23.02363064549443,72.47145966215277
Gala Gymkhana Road,23.02363064549443,72.47145966215277
Ghatlodiya,23.075569,72.549728
Ghodasar,22.99124285,72.61642315668566
Ghuma,23.0295113,72.4506006
Ghuma Road,23.030364685123153,72.45322627039673
Godhavi,23.0233196,72.4087089
Gota,23.1010002,72.5408363
Gota,23.1010002,72.5408363
Gota Gam,,
Gulbai Tekra,23.0265739,72.5489628
Gurukul,23.0457058,72.5268056
Hebatpur,22.1398631,72.1004929
Iscon Ambli Road,,
Iscon Ambli Road,,
Jagatpur,23.111423999928483,72.54800470461656
Jagatpur,23.111423999928483,72.54800470461656
Jagatpur Road,23.0892732954515,72.55006597074374
Jagatpur Road,23.0892732954515,72.55006597074374
Jagatpur Village,,
Jain Nagar Ghuma,,
Jodhpur Gam Road,,
Jodhpur Gam Road,,
Jodhpur Village,,
Jodhpur Village Road,,
Judges Bunglow Road,23.03114993185118,72.52632678301174
Judges Bunglow Road,23.03114993185118,72.52632678301174
Kathwada Road,23.0341362,72.68375
Khodiyar,23.1559206,72.5483
Khokhra,23.0008422,72.6186315
Koteshwar,23.094619,72.61194155740029
Koteshwar Mandir Road,23.094619,72.61194155740029
Makarba,22.996342,72.5043085
Makarba,22.996342,72.5043085
