,location,quarter,year,min_price,max_price,avg_price,latitude,longitude,Risk
0,100 Feet Ring Road,Jan-Mar,2024,6658.540375,12574.3369,9770.560714,12.9557,77.6013,Moderate
28,100 Feet Ring Road,Apr-Jun,2024,6740.005214,12728.17938,9890.1,12.9557,77.6013,Moderate
56,100 Feet Ring Road,Jul-Sep,2024,6756.91889,12760.12005,9914.918667,12.9557,77.6013,Moderate
84,100 Feet Ring Road,Oct-Dec,2024,6678.596142,12612.21126,9799.99,12.9557,77.6013,Moderate
112,100 Feet Ring Road,Jan-Mar,2025,6570.09302,12407.30828,9640.775476,12.9557,77.6013,Moderate
140,100 Feet Ring Road,Apr-Jun,2025,6581.724434,12429.27365,9657.843095,12.9557,77.6013,Moderate
168,100 Feet Ring Road,Jul-Sep,2025,6533.529421,12338.25966,9587.123048,12.9557,77.6013,Moderate
196,100 Feet Ring Road,Oct-Dec,2025,5003.354685,9448.597424,7341.786333,12.9557,77.6013,Moderate
224,100 Feet Ring Road,Jan-Mar,2026,6089.488842,11499.71014,8935.55,12.9557,77.6013,Moderate
252,100 Feet Ring Road,Apr-Jun,2026,6096.923899,11513.75089,8946.46,12.9557,77.6013,Moderate
280,100 Feet Ring Road,Jul-Sep,2026,6142.651884,11600.10601,9013.56,12.9557,77.6013,Moderate
308,100 Feet Ring Road,Oct-Dec,2026,6019.445289,11367.43622,8832.77,12.9557,77.6013,Moderate
336,100 Feet Ring Road,Jan-Mar,2027,6312.438327,11920.73964,9262.7,12.9557,77.6013,Moderate
364,100 Feet Ring Road,Apr-Jun,2027,6318.06062,11931.35707,9270.95,12.9557,77.6013,Moderate
392,100 Feet Ring Road,Jul-Sep,2027,6384.117455,12056.10226,9367.88,12.9557,77.6013,Moderate
420,100 Feet Ring Road,Oct-Dec,2027,6274.888223,11849.82805,9207.6,12.9557,77.6013,Moderate
448,100 Feet Ring Road,Jan-Mar,2028,6376.60062,12041.90708,9356.85,12.9557,77.6013,Moderate
476,100 Feet Ring Road,Apr-Jun,2028,6409.509777,12104.05446,9405.14,12.9557,77.6013,Moderate
504,100 Feet Ring Road,Jul-Sep,2028,6269.027408,11838.76018,9199.0,12.9557,77.6013,Moderate
532,100 Feet Ring Road,Oct-Dec,2028,6425.933688,12135.07023,9429.24,12.9557,77.6013,Moderate
560,100 Feet Ring Road,Jan-Mar,2029,6510.397571,12294.57626,9553.18,12.9557,77.6013,Moderate
588,100 Feet Ring Road,Apr-Jun,2029,6539.70846,12349.92848,9596.19,12.9557,77.6013,Moderate
