Location,Latitude,Longitude
100 Feet Road,12.97651773661259,80.21975169482641
AS Rao Nagar,17.4798689,78.5509653
Abids Road,17.394233548449456,78.47593402643767
Adibatla,17.230899,78.5558997
Alkapur Township,17.3940158,78.3717906
Alwal,17.5022292,78.5088584
Alwal Road,17.5086927,78.5039387
Ameenpur,17.5435893,78.30766459092564
Ameenpur Road,17.5000066,78.31761
Appa Junction Area,18.1121409,83.41196518982949
Attapur,17.3672244,78.4307278
Attapur Main Road,,
Bachupally,17.5410548,78.3635484
Bahadurpally,17.5599332,78.4375047
Balaji Nagar Main Road,13.1694345,80.2131343
Balanagar Main Road,17.4768224,78.4219645
Bandlaguda Jagir,17.3506317,78.3907531
Bandlaguda Jagir Road,17.3343045,78.3936455
Banjara Hills,17.4177464,78.4399014
Beeramguda Main Road,,
Beeramguda Ramachandrapuram,17.5163573,78.3010473
Begumpet,17.446195,78.463016
Boduppal,17.4200755,78.5827841
Bolarum,17.529823,78.5155062
Botanical Garden Road,11.014930099966755,76.93197905780566
Bowrampet Road,17.5615155,78.4032321
Chakripuram Road,,
Chanda Nagar,17.373791,78.2612479
Dilsukhnagar,17.3684129,78.5245602
Dr AS Rao Nagar Road,17.4734046,78.5577717
Dulapally Cross Road,,
ECIL Main Road,17.4873388,78.543434
East Anandbagh Main Road,,
East Maredpally Road,,
Financial District,43.6486382,-79.3802817
Gachibowli,17.4436222,78.3519638
Gachibowli Kondapur Road,17.4498638,78.3624633
Gachibowli Miyapur Road,17.4911603,78.3534016
Gachibowli Road,17.436718450082964,78.29986946893662
Gajularamaram,17.5271759,78.4200077
Gandi Maisamma,17.3413132,78.3730677
Gandipet,17.374675449999998,78.2997185460394
Ghatkesar,17.4510837,78.6843022
Gopanpalle,17.2816656,77.5477711
Gundlapochampally,17.568913,78.480271
HMDA Layout Road,17.3852904,78.5572503
HUDA Layout Nalagandla,,
Habsiguda Main Road,17.4259468,78.5324557
Hafeezpet,17.4834409,78.3611316
Hafeezpet Road,17.4823997,78.3630141
Hanamkonda Hyderabad Road,,
Hastinapuram,13.3105344,79.0380263
Hi Tension Road,,
Hill Country Road,26.2952202,-98.1835078
Himayat Nagar Road,18.413597254709934,76.59629707460677
Himayatnagar,19.4112104,77.8437928324421
Hitech City,17.4698143,78.3853779
Hitech City Main Road,17.457264,78.3756645
Hitech City Road,17.4698143,78.3853779
Hitex Road,17.4603079,78.3768179
IDL Access Road,17.478154,78.414968
ISB Road,17.435603395850602,78.34653705729097
Isnapur,17.5441251,78.1978941
Isnapur Indira Karan Road,,
Izzathnagar,12.5374443,75.0074405
JNTU Road,17.49023228021788,78.39263304269984
Jeedimetla,17.519687,78.4468876
Jeedimetla Main Road,17.477658936774755,78.44831763199764
Jubilee Hills,17.4308362,78.4102882
Kalimandir Road,22.6993912,89.082075342271
Kanchi Gachibowli Road,17.436748785054082,78.29978706171848
Kapra,58.4804569,23.02073905062165
Kapra Main Road,17.4525205,78.5656142
Kavadiguda,17.4227022,78.4917695
Khajaguda,17.4172202,78.3656108
Khajaguda Nanakramguda Road,,
Kismatpur,17.3351206,78.3926988
Kismatpur Road,17.33341155,78.38181046531878
Kokapet,17.3948624,78.3365214
Kollur,13.8634049,74.8137959
Kompally,17.5401462,78.4909369
Kondapur,17.4587912,78.3730556
Kothaguda,17.458705,78.3638803
Kothapet,18.0271389,79.6531104
Kowkoor Main Road,17.5255853,78.5360979
Kukatpally,17.4930841,78.4054408
Kukatpally Housing Board Colony,17.4922068,78.3973638
Kukatpally Housing Board Road,17.482669950000002,78.41250206245081
LB Nagar,17.3501617,78.5510938
Lanco Hills Road,,
Madeenaguda,,
Madhapur,17.4408924,78.3916304
Malkajgiri,17.4511764,78.5368997
Mallampet,17.5574261,78.36328
Mallampet Road,15.7920695,79.3435274
Mallapur,17.4405369,78.5788551
Manchirevula,17.3769679,78.3537878
Manikonda Jagir,,
Manikonda Road,16.538139026024833,80.80336543572093
Manjeera Pipeline Road,17.485499791723303,78.35660736491253
Mansoorabad Road,17.3528245,78.5597398
Marredpally,17.4507936,78.5048972
Masjid Banda,17.4670374,78.3415168
Medchal,17.6339929,78.4843146
Medchal Road,17.6047112,78.5424491
Mehdipatnam,17.3942627,78.4342514
Mehdipatnam Road,17.3947601,78.437989
Military Dairy Farm Road,17.4854441,78.4926079
Miyapur,17.4981608,78.3567628
Miyapur Main Road,,
Miyapur Road,17.4965392,78.3730252
Mokila,17.4263216,78.1880987
Moosapet,17.4685307,78.4206695
Moti Nagar Erragadda,17.4508069,78.422242
