,location,quarter,year,min_price,max_price,avg_price,Risk,location,latitude,longitude
0,90 Feet Road,Jan-Mar,2024,13897.80519,23827.41481,18862.61,Moderate,90 Feet Road,19.08470801,72.91503129
1,90 Feet Road,Apr-Jun,2024,14018.41791,24034.20209,19026.31,Moderate,90 Feet Road,19.08470801,72.91503129
2,90 Feet Road,Jul-Sep,2024,14405.2554,24697.4246,19551.34,Moderate,90 Feet Road,19.08470801,72.91503129
3,90 Feet Road,Oct-Dec,2024,14599.0757,25029.7243,19814.4,Moderate,90 Feet Road,19.08470801,72.91503129
4,90 Feet Road,Jan-Mar,2025,15476.66033,26534.31967,21005.49,Moderate,90 Feet Road,19.08470801,72.91503129
5,90 Feet Road,Apr-Jun,2025,15551.39307,26662.44693,21106.92,Moderate,90 Feet Road,19.08470801,72.91503129
6,90 Feet Road,Jul-Sep,2025,14120.07705,24208.49395,19164.2855,Moderate,90 Feet Road,19.08470801,72.91503129
7,90 Feet Road,Oct-Dec,2025,13510.16509,23162.81624,18336.49067,Moderate,90 Feet Road,19.08470801,72.91503129
8,90 Feet Road,Jan-Mar,2026,11639.76118,19956.05882,15797.91,Moderate,90 Feet Road,19.08470801,72.91503129
9,90 Feet Road,Apr-Jun,2026,11690.27559,20042.66441,15866.47,Moderate,90 Feet Road,19.08470801,72.91503129
10,90 Feet Road,Jul-Sep,2026,11746.41171,20138.90829,15942.66,Moderate,90 Feet Road,19.08470801,72.91503129
11,90 Feet Road,Oct-Dec,2026,11846.61531,20310.70469,16078.66,Moderate,90 Feet Road,19.08470801,72.91503129
12,90 Feet Road,Jan-Mar,2027,11877.81105,20364.18895,16121,Moderate,90 Feet Road,19.08470801,72.91503129
13,90 Feet Road,Apr-Jun,2027,11944.12226,20477.87774,16211,Moderate,90 Feet Road,19.08470801,72.91503129
14,90 Feet Road,Jul-Sep,2027,11986.48775,20550.51225,16268.5,Moderate,90 Feet Road,19.08470801,72.91503129
15,90 Feet Road,Oct-Dec,2027,12194.99967,20908.00033,16551.5,Moderate,90 Feet Road,19.08470801,72.91503129
16,90 Feet Road,Jan-Mar,2028,12406.45874,21270.54126,16838.5,Moderate,90 Feet Road,19.08470801,72.91503129
17,90 Feet Road,Apr-Jun,2028,12425.22481,21302.71519,16863.97,Moderate,90 Feet Road,19.08470801,72.91503129
18,90 Feet Road,Jul-Sep,2028,12475.26767,21388.51233,16931.89,Moderate,90 Feet Road,19.08470801,72.91503129
19,90 Feet Road,Oct-Dec,2028,12712.065,21794.495,17253.28,Moderate,90 Feet Road,19.08470801,72.91503129
20,90 Feet Road,Jan-Mar,2029,12868.05843,22061.94157,17465,Moderate,90 Feet Road,19.08470801,72.91503129
21,90 Feet Road,Apr-Jun,2029,12950.92534,22204.01466,17577.47,Moderate,90 Feet Road,19.08470801,72.91503129
22,90 Feet Road,Jul-Sep,2029,13041.49172,22359.28828,17700.39,Moderate,90 Feet Road,19.08470801,72.91503129
23,90 Feet Road,Oct-Dec,2029,13379.06734,22938.05266,18158.56,Moderate,90 Feet Road,19.08470801,72.91503129
24,90 Feet Road,Jan-Mar,2030,13897.80519,23827.41481,18862.61,Moderate,90 Feet Road,19.08470801,72.91503129
25,90 Feet Road,Apr-Jun,2030,14018.41791,24034.20209,19026.31,Moderate,90 Feet Road,19.08470801,72.91503129
26,90 Feet Road,Jul-Sep,2030,14405.2554,24697.4246,19551.34,Moderate,90 Feet Road,19.08470801,72.91503129
27,90 Feet Road,Oct-Dec,2030,14599.0757,25029.7243,19814.4,Moderate,90 Feet Road,19.08470801,72.91503129
28,Aarey Road,Jan-Mar,2024,13321.87554,24226.6616,18774.29,Moderate,Aarey Road,19.16652223,72.85100286
29,Aarey Road,Apr-Jun,2024,13386.69574,24344.54118,18865.64,Moderate,Aarey Road,19.16652223,72.85100286
30,Aarey Road,Jul-Sep,2024,13520.87629,24588.55687,19054.73833,Moderate,Aarey Road,19.16652223,72.85100286
31,Aarey Road,Oct-Dec,2024,13392.40432,24354.92259,18873.685,Moderate,Aarey Road,19.16652223,72.85100286
32,Aarey Road,Jan-Mar,2025,14289.6444,25986.60963,20138.15,Moderate,Aarey Road,19.16652223,72.85100286
33,Aarey Road,Apr-Jun,2025,14828.97901,26967.42327,20898.225,Moderate,Aarey Road,19.16652223,72.85100286
34,Aarey Road,Jul-Sep,2025,13463.57161,24484.34474,18973.97983,Moderate,Aarey Road,19.16652223,72.85100286
35,Aarey Road,Oct-Dec,2025,12310.86767,22388.08072,17349.494,Moderate,Aarey Road,19.16652223,72.85100286
36,Aarey Road,Jan-Mar,2026,11242.95283,20446.01099,15844.5,Moderate,Aarey Road,19.16652223,72.85100286
37,Aarey Road,Apr-Jun,2026,11298.27175,20546.61189,15922.46,Moderate,Aarey Road,19.16652223,72.85100286
38,Aarey Road,Jul-Sep,2026,11302.71728,20554.69636,15928.725,Moderate,Aarey Road,19.16652223,72.85100286
39,Aarey Road,Oct-Dec,2026,11398.51068,20728.90264,16063.725,Moderate,Aarey Road,19.16652223,72.85100286
40,Aarey Road,Jan-Mar,2027,11483.14593,20882.81712,16183,Moderate,Aarey Road,19.16652223,72.85100286
41,Aarey Road,Apr-Jun,2027,11533.17138,20973.79151,16253.5,Moderate,Aarey Road,19.16652223,72.85100286
42,Aarey Road,Jul-Sep,2027,11564.03814,21029.92465,16297,Moderate,Aarey Road,19.16652223,72.85100286
43,Aarey Road,Oct-Dec,2027,11760.59202,21387.37014,16574,Moderate,Aarey Road,19.16652223,72.85100286
44,Aarey Road,Jan-Mar,2028,12014.62194,21849.3394,16932,Moderate,Aarey Road,19.16652223,72.85100286
45,Aarey Road,Apr-Jun,2028,12047.26266,21908.69858,16978,Moderate,Aarey Road,19.16652223,72.85100286
46,Aarey Road,Jul-Sep,2028,12071.54806,21952.8631,17012.225,Moderate,Aarey Road,19.16652223,72.85100286
47,Aarey Road,Oct-Dec,2028,12303.77612,22375.18429,17339.5,Moderate,Aarey Road,19.16652223,72.85100286
48,Aarey Road,Jan-Mar,2029,12464.85096,22668.10894,17566.5,Moderate,Aarey Road,19.16652223,72.85100286
49,Aarey Road,Apr-Jun,2029,12535.80903,22797.15063,17666.5,Moderate,Aarey Road,19.16652223,72.85100286
50,Aarey Road,Jul-Sep,2029,12598.60693,22911.35253,17755,Moderate,Aarey Road,19.16652223,72.85100286
51,Aarey Road,Oct-Dec,2029,12855.12039,23377.83825,18116.5,Moderate,Aarey Road,19.16652223,72.85100286
52,Aarey Road,Jan-Mar,2030,13321.87554,24226.6616,18774.29,Moderate,Aarey Road,19.16652223,72.85100286
53,Aarey Road,Apr-Jun,2030,13386.69574,24344.54118,18865.64,Moderate,Aarey Road,19.16652223,72.85100286
54,Aarey Road,Jul-Sep,2030,13520.87629,24588.55687,19054.73833,Moderate,Aarey Road,19.16652223,72.85100286
55,Aarey Road,Oct-Dec,2030,13392.40432,24354.92259,18873.685,Moderate,Aarey Road,19.16652223,72.85100286
56,Adi Shankaracharya Marg,Jan-Mar,2024,21206.84568,38200.15432,29703.5,Moderate,Adi Shankaracharya Marg,19.02920515,73.01875552
57,Adi Shankaracharya Marg,Apr-Jun,2024,21292.87678,38355.12322,29824,Moderate,Adi Shankaracharya Marg,19.02920515,73.01875552
58,Adi Shankaracharya Marg,Jul-Sep,2024,21236.11767,38252.88233,29744.5,Moderate,Adi Shankaracharya Marg,19.02920515,73.01875552
59,Adi Shankaracharya Marg,Oct-Dec,2024,21334.99989,38431.00011,29883,Moderate,Adi Shankaracharya Marg,19.02920515,73.01875552
60,Adi Shankaracharya Marg,Jan-Mar,2025,22181.74587,39956.25413,31069,Moderate,Adi Shankaracharya Marg,19.02920515,73.01875552
61,Adi Shankaracharya Marg,Apr-Jun,2025,22154.61572,39907.38428,31031,Moderate,Adi Shankaracharya Marg,19.02920515,73.01875552
62,Adi Shankaracharya Marg,Jul-Sep,2025,19969.92544,35972.07456,27971,Moderate,Adi Shankaracharya Marg,19.02920515,73.01875552
63,Adi Shankaracharya Marg,Oct-Dec,2025,19662.21253,35417.78747,27540,Moderate,Adi Shankaracharya Marg,19.02920515,73.01875552
64,Adi Shankaracharya Marg,Jan-Mar,2026,19428.03658,34995.96342,27212,Moderate,Adi Shankaracharya Marg,19.02920515,73.01875552
65,Adi Shankaracharya Marg,Apr-Jun,2026,19367.70771,34887.29229,27127.5,Moderate,Adi Shankaracharya Marg,19.02920515,73.01875552
66,Adi Shankaracharya Marg,Jul-Sep,2026,19373.7763,34898.2237,27136,Moderate,Adi Shankaracharya Marg,19.02920515,73.01875552
67,Adi Shankaracharya Marg,Oct-Dec,2026,19155.79276,34505.56724,26830.68,Moderate,Adi Shankaracharya Marg,19.02920515,73.01875552
68,Adi Shankaracharya Marg,Jan-Mar,2027,19523.70602,35168.29398,27346,Moderate,Adi Shankaracharya Marg,19.02920515,73.01875552
69,Adi Shankaracharya Marg,Apr-Jun,2027,19518.35139,35158.64861,27338.5,Moderate,Adi Shankaracharya Marg,19.02920515,73.01875552
70,Adi Shankaracharya Marg,Jul-Sep,2027,19647.21956,35390.78044,27519,Moderate,Adi Shankaracharya Marg,19.02920515,73.01875552
71,Adi Shankaracharya Marg,Oct-Dec,2027,19340.05639,34837.48361,27088.77,Moderate,Adi Shankaracharya Marg,19.02920515,73.01875552
72,Adi Shankaracharya Marg,Jan-Mar,2028,20382.58916,36715.41084,28549,Moderate,Adi Shankaracharya Marg,19.02920515,73.01875552
73,Adi Shankaracharya Marg,Apr-Jun,2028,20476.11675,36883.88325,28680,Moderate,Adi Shankaracharya Marg,19.02920515,73.01875552
74,Adi Shankaracharya Marg,Jul-Sep,2028,20136.27604,36271.72396,28204,Moderate,Adi Shankaracharya Marg,19.02920515,73.01875552
75,Adi Shankaracharya Marg,Oct-Dec,2028,20181.96891,36354.03109,28268,Moderate,Adi Shankaracharya Marg,19.02920515,73.01875552
76,Adi Shankaracharya Marg,Jan-Mar,2029,20510.02943,36944.97057,28727.5,Moderate,Adi Shankaracharya Marg,19.02920515,73.01875552
77,Adi Shankaracharya Marg,Apr-Jun,2029,20566.07459,37045.92541,28806,Moderate,Adi Shankaracharya Marg,19.02920515,73.01875552
78,Adi Shankaracharya Marg,Jul-Sep,2029,20707.07993,37299.92007,29003.5,Moderate,Adi Shankaracharya Marg,19.02920515,73.01875552
79,Adi Shankaracharya Marg,Oct-Dec,2029,20627.53864,37156.64136,28892.09,Moderate,Adi Shankaracharya Marg,19.02920515,73.01875552
80,Adi Shankaracharya Marg,Jan-Mar,2030,21206.84568,38200.15432,29703.5,Moderate,Adi Shankaracharya Marg,19.02920515,73.01875552
81,Adi Shankaracharya Marg,Apr-Jun,2030,21292.87678,38355.12322,29824,Moderate,Adi Shankaracharya Marg,19.02920515,73.01875552
82,Adi Shankaracharya Marg,Jul-Sep,2030,21236.11767,38252.88233,29744.5,Moderate,Adi Shankaracharya Marg,19.02920515,73.01875552
83,Adi Shankaracharya Marg,Oct-Dec,2030,21334.99989,38431.00011,29883,Moderate,Adi Shankaracharya Marg,19.02920515,73.01875552
84,Agrawal Road,Jan-Mar,2024,14454.22549,25466.57965,19960.38,High,Agrawal Road,19.18206035,72.94196968
85,Agrawal Road,Apr-Jun,2024,14397.17005,25366.05492,19881.59,High,Agrawal Road,19.18206035,72.94196968
86,Agrawal Road,Jul-Sep,2024,14186.62465,24995.09965,19590.84,High,Agrawal Road,19.18206035,72.94196968
87,Agrawal Road,Oct-Dec,2024,14221.38365,25056.34076,19638.84,High,Agrawal Road,19.18206035,72.94196968
88,Agrawal Road,Jan-Mar,2025,14356.19063,25293.8542,19825,High,Agrawal Road,19.18206035,72.94196968
89,Agrawal Road,Apr-Jun,2025,14029.96295,24719.08087,19374.5,High,Agrawal Road,19.18206035,72.94196968
90,Agrawal Road,Jul-Sep,2025,12839.26448,22621.21562,17730.22,High,Agrawal Road,19.18206035,72.94196968
91,Agrawal Road,Oct-Dec,2025,12499.19113,22022.04791,17260.6,High,Agrawal Road,19.18206035,72.94196968
92,Agrawal Road,Jan-Mar,2026,12535.326,22085.71315,17310.5,High,Agrawal Road,19.18206035,72.94196968
93,Agrawal Road,Apr-Jun,2026,12498.39456,22020.64447,17259.5,High,Agrawal Road,19.18206035,72.94196968
94,Agrawal Road,Jul-Sep,2026,12520.48101,22059.55809,17290,High,Agrawal Road,19.18206035,72.94196968
95,Agrawal Road,Oct-Dec,2026,12477.32192,21983.51705,17230.4,High,Agrawal Road,19.18206035,72.94196968
96,Agrawal Road,Jan-Mar,2027,12680.51724,22341.52237,17511,High,Agrawal Road,19.18206035,72.94196968
97,Agrawal Road,Apr-Jun,2027,12692.46564,22362.574,17527.5,High,Agrawal Road,19.18206035,72.94196968
98,Agrawal Road,Jul-Sep,2027,12748.94901,22462.0908,17605.5,High,Agrawal Road,19.18206035,72.94196968
99,Agrawal Road,Oct-Dec,2027,12810.69693,22570.88308,17690.77,High,Agrawal Road,19.18206035,72.94196968
100,Agrawal Road,Jan-Mar,2028,13633.43519,24020.44739,18826.92,High,Agrawal Road,19.18206035,72.94196968
101,Agrawal Road,Apr-Jun,2028,13405.02512,23618.01675,18511.5,High,Agrawal Road,19.18206035,72.94196968
102,Agrawal Road,Jul-Sep,2028,13314.50689,23458.53469,18386.5,High,Agrawal Road,19.18206035,72.94196968
103,Agrawal Road,Oct-Dec,2028,13347.09345,23515.94823,18431.5,High,Agrawal Road,19.18206035,72.94196968
104,Agrawal Road,Jan-Mar,2029,14068.71923,24787.36471,19428.02,High,Agrawal Road,19.18206035,72.94196968
105,Agrawal Road,Apr-Jun,2029,14007.97788,24680.34587,19344.14,High,Agrawal Road,19.18206035,72.94196968
106,Agrawal Road,Jul-Sep,2029,13972.39336,24617.65028,19295,High,Agrawal Road,19.18206035,72.94196968
107,Agrawal Road,Oct-Dec,2029,14051.46284,24756.96105,19404.19,High,Agrawal Road,19.18206035,72.94196968
108,Agrawal Road,Jan-Mar,2030,14454.22549,25466.57965,19960.38,High,Agrawal Road,19.18206035,72.94196968
109,Agrawal Road,Apr-Jun,2030,14397.17005,25366.05492,19881.59,High,Agrawal Road,19.18206035,72.94196968
110,Agrawal Road,Jul-Sep,2030,14186.62465,24995.09965,19590.84,High,Agrawal Road,19.18206035,72.94196968
111,Agrawal Road,Oct-Dec,2030,14221.38365,25056.34076,19638.84,High,Agrawal Road,19.18206035,72.94196968
112,Akurli Nagar,Jan-Mar,2024,12174.98,20039.29591,16107.28,Moderate,Akurli Nagar,19.20072619,72.85906966
113,Akurli Nagar,Apr-Jun,2024,12374.29488,20367.35638,16370.97,Moderate,Akurli Nagar,19.20072619,72.85906966
114,Akurli Nagar,Jul-Sep,2024,12607.92868,20751.90379,16680.06333,Moderate,Akurli Nagar,19.20072619,72.85906966
115,Akurli Nagar,Oct-Dec,2024,12568.11459,20686.37215,16627.39,Moderate,Akurli Nagar,19.20072619,72.85906966
116,Akurli Nagar,Jan-Mar,2025,14040.8481,23110.40427,18575.79,Moderate,Akurli Nagar,19.20072619,72.85906966
117,Akurli Nagar,Apr-Jun,2025,14575.13351,23989.8064,19282.64,Moderate,Akurli Nagar,19.20072619,72.85906966
118,Akurli Nagar,Jul-Sep,2025,11494.17006,18918.72307,15206.58067,Moderate,Akurli Nagar,19.20072619,72.85906966
119,Akurli Nagar,Oct-Dec,2025,10817.93715,17805.68376,14311.93667,Moderate,Akurli Nagar,19.20072619,72.85906966
120,Akurli Nagar,Jan-Mar,2026,11895.19541,19578.78703,15737.13,Moderate,Akurli Nagar,19.20072619,72.85906966
121,Akurli Nagar,Apr-Jun,2026,11815.1792,19447.0851,15631.27,Moderate,Akurli Nagar,19.20072619,72.85906966
122,Akurli Nagar,Jul-Sep,2026,11975.51396,19710.98661,15843.39,Moderate,Akurli Nagar,19.20072619,72.85906966
123,Akurli Nagar,Oct-Dec,2026,11887.17565,19565.58698,15726.52,Moderate,Akurli Nagar,19.20072619,72.85906966
124,Akurli Nagar,Jan-Mar,2027,11963.26133,19690.81952,15827.18,Moderate,Akurli Nagar,19.20072619,72.85906966
125,Akurli Nagar,Apr-Jun,2027,11903.54775,19592.5345,15748.18,Moderate,Akurli Nagar,19.20072619,72.85906966
126,Akurli Nagar,Jul-Sep,2027,11956.51899,19679.72202,15818.26,Moderate,Akurli Nagar,19.20072619,72.85906966
127,Akurli Nagar,Oct-Dec,2027,11898.81601,19584.74634,15741.92,Moderate,Akurli Nagar,19.20072619,72.85906966
128,Akurli Nagar,Jan-Mar,2028,11153.44687,18357.91288,14755.81,Moderate,Akurli Nagar,19.20072619,72.85906966
129,Akurli Nagar,Apr-Jun,2028,11140.55176,18336.68829,14738.75,Moderate,Akurli Nagar,19.20072619,72.85906966
130,Akurli Nagar,Jul-Sep,2028,10955.81153,18032.61683,14494.342,Moderate,Akurli Nagar,19.20072619,72.85906966
131,Akurli Nagar,Oct-Dec,2028,10855.50632,17867.52038,14361.64,Moderate,Akurli Nagar,19.20072619,72.85906966
132,Akurli Nagar,Jan-Mar,2029,11344.85536,18672.95992,15009.04,Moderate,Akurli Nagar,19.20072619,72.85906966
133,Akurli Nagar,Apr-Jun,2029,11512.35574,18948.65563,15230.64,Moderate,Akurli Nagar,19.20072619,72.85906966
134,Akurli Nagar,Jul-Sep,2029,11711.25489,19276.03184,15493.78,Moderate,Akurli Nagar,19.20072619,72.85906966
135,Akurli Nagar,Oct-Dec,2029,11781.11978,19391.02532,15586.21,Moderate,Akurli Nagar,19.20072619,72.85906966
136,Akurli Nagar,Jan-Mar,2030,12174.98,20039.29591,16107.28,Moderate,Akurli Nagar,19.20072619,72.85906966
137,Akurli Nagar,Apr-Jun,2030,12374.29488,20367.35638,16370.97,Moderate,Akurli Nagar,19.20072619,72.85906966
138,Akurli Nagar,Jul-Sep,2030,12607.92868,20751.90379,16680.06333,Moderate,Akurli Nagar,19.20072619,72.85906966
139,Akurli Nagar,Oct-Dec,2030,12568.11459,20686.37215,16627.39,Moderate,Akurli Nagar,19.20072619,72.85906966
140,Akurli Road,Jan-Mar,2024,11912.19431,21034.77946,17554.64,Moderate,Akurli Road,19.20097306,72.86848751
141,Akurli Road,Apr-Jun,2024,12063.80223,21302.49161,17778.06,Moderate,Akurli Road,19.20097306,72.86848751
142,Akurli Road,Jul-Sep,2024,12046.70206,21272.2958,17752.86,Moderate,Akurli Road,19.20097306,72.86848751
143,Akurli Road,Oct-Dec,2024,12166.27205,21483.43476,17929.06667,Moderate,Akurli Road,19.20097306,72.86848751
144,Akurli Road,Jan-Mar,2025,12768.30202,22546.51074,18816.26,Moderate,Akurli Road,19.20097306,72.86848751
145,Akurli Road,Apr-Jun,2025,13020.92986,22992.60579,19188.55,Moderate,Akurli Road,19.20097306,72.86848751
146,Akurli Road,Jul-Sep,2025,9620.478173,16988.02348,14177.40733,Moderate,Akurli Road,19.20097306,72.86848751
147,Akurli Road,Oct-Dec,2025,9201.59372,16248.34934,13560.11,Moderate,Akurli Road,19.20097306,72.86848751
148,Akurli Road,Jan-Mar,2026,6665.224844,11769.5809,9822.34,Moderate,Akurli Road,19.20097306,72.86848751
149,Akurli Road,Apr-Jun,2026,6619.529394,11688.891,9755,Moderate,Akurli Road,19.20097306,72.86848751
150,Akurli Road,Jul-Sep,2026,6867.210402,12126.25084,10120,Moderate,Akurli Road,19.20097306,72.86848751
151,Akurli Road,Oct-Dec,2026,7118.2843,12569.60191,10490,Moderate,Akurli Road,19.20097306,72.86848751
152,Akurli Road,Jan-Mar,2027,7600.074753,13420.35666,11200,Moderate,Akurli Road,19.20097306,72.86848751
153,Akurli Road,Apr-Jun,2027,7881.684666,13917.62881,11615,Moderate,Akurli Road,19.20097306,72.86848751
154,Akurli Road,Jul-Sep,2027,8109.00833,14319.04126,11950,Moderate,Akurli Road,19.20097306,72.86848751
155,Akurli Road,Oct-Dec,2027,8319.367542,14690.49756,12260,Moderate,Akurli Road,19.20097306,72.86848751
156,Akurli Road,Jan-Mar,2028,9142.984929,16144.85682,13473.74,Moderate,Akurli Road,19.20097306,72.86848751
157,Akurli Road,Apr-Jun,2028,9376.05615,16556.41842,13817.21,Moderate,Akurli Road,19.20097306,72.86848751
158,Akurli Road,Jul-Sep,2028,9509.524772,16792.09985,14013.89867,Moderate,Akurli Road,19.20097306,72.86848751
159,Akurli Road,Oct-Dec,2028,9316.393301,16451.06463,13729.28667,Moderate,Akurli Road,19.20097306,72.86848751
160,Akurli Road,Jan-Mar,2029,10359.37011,18292.77292,15266.29,Moderate,Akurli Road,19.20097306,72.86848751
161,Akurli Road,Apr-Jun,2029,10508.21621,18555.60821,15485.64,Moderate,Akurli Road,19.20097306,72.86848751
162,Akurli Road,Jul-Sep,2029,10998.43461,19421.24518,16208.06,Moderate,Akurli Road,19.20097306,72.86848751
163,Akurli Road,Oct-Dec,2029,11259.91111,19882.96536,16593.39,Moderate,Akurli Road,19.20097306,72.86848751
164,Akurli Road,Jan-Mar,2030,11912.19431,21034.77946,17554.64,Moderate,Akurli Road,19.20097306,72.86848751
165,Akurli Road,Apr-Jun,2030,12063.80223,21302.49161,17778.06,Moderate,Akurli Road,19.20097306,72.86848751
166,Akurli Road,Jul-Sep,2030,12046.70206,21272.2958,17752.86,Moderate,Akurli Road,19.20097306,72.86848751
167,Akurli Road,Oct-Dec,2030,12166.27205,21483.43476,17929.06667,Moderate,Akurli Road,19.20097306,72.86848751
168,Ambedkar Road,Jan-Mar,2024,11873.17658,24032.12463,17915.97,High,Ambedkar Road,19.0104738,72.84361425
169,Ambedkar Road,Apr-Jun,2024,12135.88994,24563.87451,18312.39,High,Ambedkar Road,19.0104738,72.84361425
170,Ambedkar Road,Jul-Sep,2024,12126.03404,24543.9255,18297.518,High,Ambedkar Road,19.0104738,72.84361425
171,Ambedkar Road,Oct-Dec,2024,11280.8223,22833.1589,17022.14,High,Ambedkar Road,19.0104738,72.84361425
172,Ambedkar Road,Jan-Mar,2025,11973.58448,24235.35712,18067.48,High,Ambedkar Road,19.0104738,72.84361425
173,Ambedkar Road,Apr-Jun,2025,12054.24614,24398.62185,18189.194,High,Ambedkar Road,19.0104738,72.84361425
174,Ambedkar Road,Jul-Sep,2025,8642.695507,17493.40913,13041.35186,High,Ambedkar Road,19.0104738,72.84361425
175,Ambedkar Road,Oct-Dec,2025,7292.204111,14759.92182,11003.53467,High,Ambedkar Road,19.0104738,72.84361425
176,Ambedkar Road,Jan-Mar,2026,6796.152443,13755.87918,10255.02,High,Ambedkar Road,19.0104738,72.84361425
177,Ambedkar Road,Apr-Jun,2026,6918.741407,14004.00766,10440,High,Ambedkar Road,19.0104738,72.84361425
178,Ambedkar Road,Jul-Sep,2026,7215.355936,14604.37583,10887.575,High,Ambedkar Road,19.0104738,72.84361425
179,Ambedkar Road,Oct-Dec,2026,7458.853882,15097.2324,11255,High,Ambedkar Road,19.0104738,72.84361425
180,Ambedkar Road,Jan-Mar,2027,7886.30486,15962.42252,11900,High,Ambedkar Road,19.0104738,72.84361425
181,Ambedkar Road,Apr-Jun,2027,8171.272179,16539.21594,12330,High,Ambedkar Road,19.0104738,72.84361425
182,Ambedkar Road,Jul-Sep,2027,8478.148845,17160.35539,12793.06,High,Ambedkar Road,19.0104738,72.84361425
183,Ambedkar Road,Oct-Dec,2027,8449.61235,17102.59556,12750,High,Ambedkar Road,19.0104738,72.84361425
184,Ambedkar Road,Jan-Mar,2028,9335.02569,18894.73296,14086.04,High,Ambedkar Road,19.0104738,72.84361425
185,Ambedkar Road,Apr-Jun,2028,9560.825841,19351.76796,14426.76,High,Ambedkar Road,19.0104738,72.84361425
186,Ambedkar Road,Jul-Sep,2028,9787.085474,19809.733,14768.17333,High,Ambedkar Road,19.0104738,72.84361425
187,Ambedkar Road,Oct-Dec,2028,8995.28942,18207.08342,13573.39667,High,Ambedkar Road,19.0104738,72.84361425
188,Ambedkar Road,Jan-Mar,2029,10459.49347,21170.73296,15782.8,High,Ambedkar Road,19.0104738,72.84361425
189,Ambedkar Road,Apr-Jun,2029,10511.94072,21276.88978,15861.94,High,Ambedkar Road,19.0104738,72.84361425
190,Ambedkar Road,Jul-Sep,2029,11061.82161,22389.88645,16691.68,High,Ambedkar Road,19.0104738,72.84361425
191,Ambedkar Road,Oct-Dec,2029,10951.81759,22167.23078,16525.69,High,Ambedkar Road,19.0104738,72.84361425
192,Ambedkar Road,Jan-Mar,2030,11873.17658,24032.12463,17915.97,High,Ambedkar Road,19.0104738,72.84361425
193,Ambedkar Road,Apr-Jun,2030,12135.88994,24563.87451,18312.39,High,Ambedkar Road,19.0104738,72.84361425
194,Ambedkar Road,Jul-Sep,2030,12126.03404,24543.9255,18297.518,High,Ambedkar Road,19.0104738,72.84361425
195,Ambedkar Road,Oct-Dec,2030,11280.8223,22833.1589,17022.14,High,Ambedkar Road,19.0104738,72.84361425
196,Amboli,Jan-Mar,2024,17129.12722,26341.24744,21735.02,High,Amboli,19.12935956,72.84341611
197,Amboli,Apr-Jun,2024,17686.88923,27198.97632,22442.76,High,Amboli,19.12935956,72.84341611
198,Amboli,Jul-Sep,2024,17766.84242,27321.92869,22544.212,High,Amboli,19.12935956,72.84341611
199,Amboli,Oct-Dec,2024,17643.35678,27132.03192,22387.522,High,Amboli,19.12935956,72.84341611
200,Amboli,Jan-Mar,2025,17836.8389,27429.56958,22633.03,High,Amboli,19.12935956,72.84341611
201,Amboli,Apr-Jun,2025,17752.57644,27299.9904,22526.11,High,Amboli,19.12935956,72.84341611
202,Amboli,Jul-Sep,2025,17241.18085,26513.564,21877.204,High,Amboli,19.12935956,72.84341611
203,Amboli,Oct-Dec,2025,16550.68103,25451.71033,21001.034,High,Amboli,19.12935956,72.84341611
204,Amboli,Jan-Mar,2026,16076.91037,24723.14373,20399.87,High,Amboli,19.12935956,72.84341611
205,Amboli,Apr-Jun,2026,16091.91558,24746.21881,20418.91,High,Amboli,19.12935956,72.84341611
206,Amboli,Jul-Sep,2026,15860.63515,24390.55473,20125.44,High,Amboli,19.12935956,72.84341611
207,Amboli,Oct-Dec,2026,15550.7192,23913.96462,19732.19,High,Amboli,19.12935956,72.84341611
208,Amboli,Jan-Mar,2027,14653.34605,22533.98023,18593.52,High,Amboli,19.12935956,72.84341611
