,location,year,quarter,avg_price,max_price,min_price,Risk,Latitude,Longitude
0,Alaknanda,2024,Jan-Mar,13229.95000000002,15720.653396792624,10739.09346815174,Moderate,28.5305264,77.2509507
1,Alaknanda,2024,Jan-Mar,13229.95000000002,15720.653396792624,10739.09346815174,Moderate,28.5305264,77.2509507
2,Alaknanda,2024,Jan-Mar,13229.95000000002,15720.653396792624,10739.09346815174,Moderate,28.5305264,77.2509507
3,Alaknanda,2024,Jan-Mar,13229.95000000002,15720.653396792624,10739.09346815174,Moderate,28.5305264,77.2509507
4,Alaknanda,2024,Jan-Mar,13229.95000000002,15720.653396792624,10739.09346815174,Moderate,28.5305264,77.2509507
5,Alaknanda,2024,Jan-Mar,13229.95000000002,15720.653396792624,10739.09346815174,Moderate,28.5305264,77.2509507
6,Alaknanda,2024,Jan-Mar,13229.95000000002,15720.653396792624,10739.09346815174,Moderate,28.5305264,77.2509507
7,Alaknanda,2024,Jan-Mar,13229.95000000002,15720.653396792624,10739.09346815174,Moderate,28.5305264,77.2509507
8,Alaknanda,2024,Jan-Mar,13229.95000000002,15720.653396792624,10739.09346815174,Moderate,28.5305264,77.2509507
9,Alaknanda,2024,Jan-Mar,13229.95000000002,15720.653396792624,10739.09346815174,Moderate,28.5305264,77.2509507
10,Alaknanda,2024,Jan-Mar,13229.95000000002,15720.653396792624,10739.09346815174,Moderate,28.5305264,77.2509507
11,Alaknanda,2024,Jan-Mar,13229.95000000002,15720.653396792624,10739.09346815174,Moderate,28.5305264,77.2509507
12,Alaknanda,2024,Jan-Mar,13229.95000000002,15720.653396792624,10739.09346815174,Moderate,28.5305264,77.2509507
13,Alaknanda,2024,Jan-Mar,13229.95000000002,15720.653396792624,10739.09346815174,Moderate,28.5305264,77.2509507
14,Alaknanda,2024,Jan-Mar,13229.95000000002,15720.653396792624,10739.09346815174,Moderate,28.5305264,77.2509507
15,Alaknanda,2024,Jan-Mar,13229.95000000002,15720.653396792624,10739.09346815174,Moderate,28.5305264,77.2509507
16,Alaknanda,2024,Jan-Mar,13229.95000000002,15720.653396792624,10739.09346815174,Moderate,28.5305264,77.2509507
17,Alaknanda,2024,Jan-Mar,13229.95000000002,15720.653396792624,10739.09346815174,Moderate,28.5305264,77.2509507
18,Alaknanda,2024,Jan-Mar,13229.95000000002,15720.653396792624,10739.09346815174,Moderate,28.5305264,77.2509507
19,Alaknanda,2024,Jan-Mar,13229.95000000002,15720.653396792624,10739.09346815174,Moderate,28.5305264,77.2509507
20,Alaknanda,2024,Jan-Mar,13229.95000000002,15720.653396792624,10739.09346815174,Moderate,28.5305264,77.2509507
21,Alaknanda,2024,Jan-Mar,13229.95000000002,15720.653396792624,10739.09346815174,Moderate,28.5305264,77.2509507
22,Alaknanda,2024,Jan-Mar,13229.95000000002,15720.653396792624,10739.09346815174,Moderate,28.5305264,77.2509507
