Location,Latitude,Longitude
Alaknanda,30.2965383,79.1567896
Alaknanda Don Bosco Road,,
Asaf Ali Road,28.644150569209792,77.2268268384856
Chattarpur,28.503846,77.183032
Chattarpur Enclave,28.50270475,77.18422721414917
Dashrathpuri Metro Road,,
Dilshad Garden,28.6758864,77.32144601267456
Dwarka,22.2424747,68.9671448
Dwarka Mor,28.61931,77.0332792
Dwarka Road,22.240468137940127,68.97771048195692
Dwarka Sector 3,28.60768035,77.04385776827434
Dwarka Sector 9,28.574272,77.0653316
GT Karnal Road,28.700577850000002,77.18192300898176
Greater Kailash,28.5419077,77.2384925
IP Extension,28.6319012,77.31073275633294
Inder Mohan Bharadwaj Marg,,
Indraprastha,28.6206019,77.249551
Jamia Nagar,28.5687308,77.2848272
Janakpuri,28.6219272,77.0874757
Jasola,28.5427353,77.2913342
Jasola Vihar,28.5427353,77.2913342
Kakrola,28.607616,77.0168131
Kalkaji,28.5469476,77.258801
Karol Bagh,28.6529982,77.1890227
Kirti Nagar,28.655746,77.1506635
Loni Road,28.680842023200988,77.29242770319841
Mahavir Enclave,9.92960895,76.25554196442533
Main Chhatarpur Road,,
Main Rajapuri Road,,
Mandi Road,31.607613,75.4783172
Mayur Vihar,28.6098427,77.2926378
Mayur Vihar 1,28.6178531,77.2934255
Mehrauli,28.5218262,77.1783232
Mehrauli Badarpur Road,28.514732124814543,77.23065426726764
Moti Nagar,28.657859,77.1424288
Munirka,28.554886,77.1710841
Narwana Road,32.17786394105429,76.3935351049502
Nawada,24.817324900000003,85.51790846584018
New Rohtak Road,28.65609822181285,77.19736195053278
Okhla,28.5636616,77.2890546
Okhla Estate Marg,28.525828993411345,77.25972982998603
Pandav Nagar,28.619553,77.2830355
Pankha Road,28.6068154,77.10656735
Paschim Vihar,28.6695782,77.095956
Patel Road,13.109592387370437,80.24672273789166
Patparganj,28.6115923,77.2905644
Pitam Pura,28.7032676,77.1322497
Rajpur Road,30.358035256806627,78.06659149924518
Rohini,27.5008961,83.54947316902874
Saharanpur Delhi Road,,
Saket,28.521168,77.2022237
Sarita Vihar,28.5334785,77.2935232
Sector 10 Dwarka,28.5843113,77.05769328545757
Sector 11 Dwarka,28.58955135,77.04999825784071
Sector 12 Dwarka,28.5956058,77.04303844386249
Sector 13 Dwarka,28.6058267,77.0363145
Sector 13 Rohini,28.7224501,77.13217323821597
Sector 14 Rohini,28.7136474,77.13380648514791
Sector 18 Dwarka,28.587092900000002,77.03582770745707
Sector 19 Dwarka,28.5757718,77.04871203974312
Sector 2 Dwarka,28.5986338,77.0686619
Sector 22 Dwarka,28.5579591,77.0580701
Sector 23 Dwarka,28.5619923,77.0491008
Sector 4 Dwarka,28.601669,77.0489574
Sector 5 Dwarka,28.59740795,77.05669444035006
Sector 6 Dwarka,28.5925436,77.06467187079608
Sector 7 Dwarka,28.5874118,77.0673052
Sector 9 Rohini,28.7148859,77.12358281294891
Sector B Vasant Kunj,28.5265395,77.15668176905473
Sector C Vasant Kunj,28.513906900000002,77.16559496583565
Sector D Vasant Kunj,28.5343676,77.142188
Shahdara,28.6758661,77.29850776650815
Sri Aurobindo Marg,12.917575249875366,77.58580170793057
Uttam Nagar,28.6215226,77.0611064
Uttam Nagar West,28.621757,77.0557122
Vasant Kunj,28.5292495,77.1541335
Vasundhara Enclave,28.60172595,77.32112058054828
Vikas Marg,28.39787993638273,77.06385947818117
Vikaspuri,28.638643,77.0731382
Vipin Garden,28.6214947,77.02598297309035
