,Unnamed: 0,location,year,quarter,avg_price,max_price,min_price,location.1,latitude,longitude,Locality,Risk
0,0,Airport Road,2024,Jan-Mar,6858.92,8407.298249,5310.541751,Airport Road,18.56184,73.8924,Airport Road,Moderate
1,1,Airport Road,2024,Apr-Jun,6494.38,7960.464563,5028.295437,Airport Road,18.56184,73.8924,Airport Road,Moderate
2,2,Airport Road,2024,Jul-Sep,6384.003333,7825.170733,4942.835934,Airport Road,18.56184,73.8924,Airport Road,Moderate
3,3,Airport Road,2024,Oct-Dec,6532.0675,8006.65989,5057.47511,Airport Road,18.56184,73.8924,Airport Road,Moderate
4,4,Airport Road,2025,Jan-Mar,6738.23,8259.362885,5217.097115,Airport Road,18.56184,73.8924,Airport Road,Moderate
5,5,Airport Road,2025,Apr-Jun,6732.876667,8252.801054,5212.952279,Airport Road,18.56184,73.8924,Airport Road,Moderate
6,6,Airport Road,2025,Jul-Sep,6728.204833,8247.07457,5209.335096,Airport Road,18.56184,73.8924,Airport Road,Moderate
7,7,Airport Road,2025,Oct-Dec,6846.6785,8392.293271,5301.063729,Airport Road,18.56184,73.8924,Airport Road,Moderate
8,8,Airport Road,2026,Jan-Mar,7114.08,8720.059765,5508.100235,Airport Road,18.56184,73.8924,Airport Road,Moderate
9,9,Airport Road,2026,Apr-Jun,7042.43,8632.235017,5452.624983,Airport Road,18.56184,73.8924,Airport Road,Moderate
10,10,Airport Road,2026,Jul-Sep,7012.29,8595.291013,5429.288987,Airport Road,18.56184,73.8924,Airport Road,Moderate
11,11,Airport Road,2026,Oct-Dec,7163.88,8781.101949,5546.658051,Airport Road,18.56184,73.8924,Airport Road,Moderate
12,12,Airport Road,2027,Jan-Mar,7244.98,8880.510002,5609.449998,Airport Road,18.56184,73.8924,Airport Road,Moderate
13,13,Airport Road,2027,Apr-Jun,7189.74,8812.799757,5566.680243,Airport Road,18.56184,73.8924,Airport Road,Moderate
14,14,Airport Road,2027,Jul-Sep,7151.87,8766.380731,5537.359269,Airport Road,18.56184,73.8924,Airport Road,Moderate
15,15,Airport Road,2027,Oct-Dec,7109.69,8714.678737,5504.701263,Airport Road,18.56184,73.8924,Airport Road,Moderate
16,16,Airport Road,2028,Jan-Mar,6512.91,7983.177648,5042.642352,Airport Road,18.56184,73.8924,Airport Road,Moderate
17,17,Airport Road,2028,Apr-Jun,6503.46,7971.594343,5035.325657,Airport Road,18.56184,73.8924,Airport Road,Moderate
18,18,Airport Road,2028,Jul-Sep,6656.97,8159.758712,5154.181288,Airport Road,18.56184,73.8924,Airport Road,Moderate
19,19,Airport Road,2028,Oct-Dec,6769.3365,8297.491573,5241.181427,Airport Road,18.56184,73.8924,Airport Road,Moderate
20,20,Airport Road,2029,Jan-Mar,6878.94,8431.837697,5326.042303,Airport Road,18.56184,73.8924,Airport Road,Moderate
21,21,Airport Road,2029,Apr-Jun,6874.48,8426.370867,5322.589133,Airport Road,18.56184,73.8924,Airport Road,Moderate
22,22,Airport Road,2029,Jul-Sep,6873.74,8425.463814,5322.016186,Airport Road,18.56184,73.8924,Airport Road,Moderate
23,23,Airport Road,2029,Oct-Dec,6896.1925,8452.984891,5339.400109,Airport Road,18.56184,73.8924,Airport Road,Moderate
24,24,Airport Road,2030,Jan-Mar,6858.92,8407.298249,5310.541751,Airport Road,18.56184,73.8924,Airport Road,Moderate
25,25,Airport Road,2030,Apr-Jun,6494.38,7960.464563,5028.295437,Airport Road,18.56184,73.8924,Airport Road,Moderate
26,26,Airport Road,2030,Jul-Sep,6384.003333,7825.170733,4942.835934,Airport Road,18.56184,73.8924,Airport Road,Moderate
27,27,Airport Road,2030,Oct-Dec,6532.0675,8006.65989,5057.47511,Airport Road,18.56184,73.8924,Airport Road,Moderate
28,28,Akurdi,2024,Jan-Mar,7038.351667,8708.557811,5541.71508,Akurdi,18.64864175,73.76470807,Akurdi,Moderate
29,29,Akurdi,2024,Apr-Jun,7030.871667,8699.302801,5535.825628,Akurdi,18.64864175,73.76470807,Akurdi,Moderate
30,30,Akurdi,2024,Jul-Sep,6246.799167,7729.169307,4918.478471,Akurdi,18.64864175,73.76470807,Akurdi,Moderate
31,31,Akurdi,2024,Oct-Dec,6178.499667,7644.662284,4864.702191,Akurdi,18.64864175,73.76470807,Akurdi,Moderate
32,32,Akurdi,2025,Jan-Mar,7115.313333,8803.782539,5602.311601,Akurdi,18.64864175,73.76470807,Akurdi,Moderate
33,33,Akurdi,2025,Apr-Jun,7208.646667,8919.263942,5675.798515,Akurdi,18.64864175,73.76470807,Akurdi,Moderate
34,34,Akurdi,2025,Jul-Sep,5733.686667,7094.294825,4514.474321,Akurdi,18.64864175,73.76470807,Akurdi,Moderate
35,35,Akurdi,2025,Oct-Dec,5865.953833,7257.94909,4618.61617,Akurdi,18.64864175,73.76470807,Akurdi,Moderate
36,36,Akurdi,2026,Jan-Mar,4136.11,5117.612014,3256.606695,Akurdi,18.64864175,73.76470807,Akurdi,Moderate
37,37,Akurdi,2026,Apr-Jun,4204.7,5202.478472,3310.611703,Akurdi,18.64864175,73.76470807,Akurdi,Moderate
38,38,Akurdi,2026,Jul-Sep,4282.68,5298.963185,3372.010019,Akurdi,18.64864175,73.76470807,Akurdi,Moderate
