,location,predicted_price,quarter,year,Locality,Risk
0,100 Feet Ring Road,9760.2,Jan-Mar,2024,100 Feet Ring Road,Moderate
1,100 Feet Ring Road,9844.435,Apr-Jun,2024,100 Feet Ring Road,Moderate
2,100 Feet Ring Road,9890.408333,Jul-Sep,2024,100 Feet Ring Road,Moderate
3,100 Feet Ring Road,9609.035,Oct-Dec,2024,100 Feet Ring Road,Moderate
4,100 Feet Ring Road,9782.413333,Jan-Mar,2025,100 Feet Ring Road,Moderate
5,100 Feet Ring Road,9630.851667,Apr-Jun,2025,100 Feet Ring Road,Moderate
6,100 Feet Ring Road,9517.314,Jul-Sep,2025,100 Feet Ring Road,Moderate
7,100 Feet Ring Road,6773.52,Oct-Dec,2025,100 Feet Ring Road,Moderate
8,100 Feet Ring Road,8931.48,Jan-Mar,2026,100 Feet Ring Road,Moderate
9,100 Feet Ring Road,8969.57,Apr-Jun,2026,100 Feet Ring Road,Moderate
10,100 Feet Ring Road,9091.76,Jul-Sep,2026,100 Feet Ring Road,Moderate
11,100 Feet Ring Road,8985.78,Oct-Dec,2026,100 Feet Ring Road,Moderate
12,100 Feet Ring Road,9216.54,Jan-Mar,2027,100 Feet Ring Road,Moderate
13,100 Feet Ring Road,9213.77,Apr-Jun,2027,100 Feet Ring Road,Moderate
14,100 Feet Ring Road,9295.51,Jul-Sep,2027,100 Feet Ring Road,Moderate
15,100 Feet Ring Road,9195.35,Oct-Dec,2027,100 Feet Ring Road,Moderate
16,100 Feet Ring Road,9287.25,Jan-Mar,2028,100 Feet Ring Road,Moderate
17,100 Feet Ring Road,9292.67,Apr-Jun,2028,100 Feet Ring Road,Moderate
18,100 Feet Ring Road,9303.36,Jul-Sep,2028,100 Feet Ring Road,Moderate
19,100 Feet Ring Road,9521.36,Oct-Dec,2028,100 Feet Ring Road,Moderate
20,100 Feet Ring Road,9333.12,Jan-Mar,2029,100 Feet Ring Road,Moderate
21,100 Feet Ring Road,9397.64,Apr-Jun,2029,100 Feet Ring Road,Moderate
22,100 Feet Ring Road,9518.53,Jul-Sep,2029,100 Feet Ring Road,Moderate
23,100 Feet Ring Road,9517.35,Oct-Dec,2029,100 Feet Ring Road,Moderate
24,100 Feet Ring Road,9760.2,Jan-Mar,2030,100 Feet Ring Road,Moderate
