,location,Year,Quarter Period,Average Price,max_price,min_price,Locality,Economic  Factor,Sentiment Score,Sentiment,Risk
0,100 Feet Ring Road,2024,Jan-Mar,9770.56071428572,12574.336899291757,6658.540374774824,100 Feet Ring Road,Proximity to key hubs but high property prices due to demand.,-0.1901,Negative,Moderate
1,100 Feet Ring Road,2024,Apr-Jun,9890.09999999999,12728.179375197378,6740.005214263148,100 Feet Ring Road,Proximity to key hubs but high property prices due to demand.,-0.1901,Negative,Moderate
2,100 Feet Ring Road,2024,Jul-Sep,9914.91866666665,12760.120047302462,6756.918889832085,100 Feet Ring Road,Proximity to key hubs but high property prices due to demand.,-0.1901,Negative,Moderate
3,100 Feet Ring Road,2024,Oct-Dec,9799.99,12612.211261275486,6678.596141568515,100 Feet Ring Road,Proximity to key hubs but high property prices due to demand.,-0.1901,Negative,Moderate
4,100 Feet Ring Road,2025,Jan-Mar,9640.77547619049,12407.308275645,6570.093020198406,100 Feet Ring Road,Proximity to key hubs but high property prices due to demand.,-0.1901,Negative,Moderate
5,100 Feet Ring Road,2025,Apr-Jun,9657.8430952381,12429.27364674797,6581.724433568941,100 Feet Ring Road,Proximity to key hubs but high property prices due to demand.,-0.1901,Negative,Moderate
6,100 Feet Ring Road,2025,Jul-Sep,9587.12304761905,12338.259657858298,6533.529421414835,100 Feet Ring Road,Proximity to key hubs but high property prices due to demand.,-0.1901,Negative,Moderate
7,100 Feet Ring Road,2025,Oct-Dec,7341.786333333341,9448.597424195865,5003.354684853812,100 Feet Ring Road,Proximity to key hubs but high property prices due to demand.,-0.1901,Negative,Moderate
8,100 Feet Ring Road,2026,Jan-Mar,8935.55000000001,11499.710135999148,6089.488841600105,100 Feet Ring Road,Proximity to key hubs but high property prices due to demand.,-0.1901,Negative,Moderate
9,100 Feet Ring Road,2026,Apr-Jun,8946.460000000008,11513.750887557107,6096.923898564908,100 Feet Ring Road,Proximity to key hubs but high property prices due to demand.,-0.1901,Negative,Moderate
