,location,quarter,year,avg_price,Locality,Final Risk Calculated,Unnamed: 2
0,90 Feet Road,Jan-Mar,2024.0,18862.61,90 Feet Road,Moderate Risk,
1,90 Feet Road,Apr-Jun,2024.0,19026.31,90 Feet Road,Moderate Risk,
2,90 Feet Road,Jul-Sep,2024.0,19551.34,90 Feet Road,Moderate Risk,
3,90 Feet Road,Oct-Dec,2024.0,19814.4,90 Feet Road,Moderate Risk,
4,90 Feet Road,Jan-Mar,2025.0,21005.49,90 Feet Road,Moderate Risk,
5,90 Feet Road,Apr-Jun,2025.0,21106.92,90 Feet Road,Moderate Risk,
6,90 Feet Road,Jul-Sep,2025.0,19164.2855,90 Feet Road,Moderate Risk,
7,90 Feet Road,Oct-Dec,2025.0,18336.49067,90 Feet Road,Moderate Risk,
8,90 Feet Road,Jan-Mar,2026.0,15797.91,90 Feet Road,Moderate Risk,
9,90 Feet Road,Apr-Jun,2026.0,15866.47,90 Feet Road,Moderate Risk,
10,90 Feet Road,Jul-Sep,2026.0,15942.66,90 Feet Road,Moderate Risk,
11,90 Feet Road,Oct-Dec,2026.0,16078.66,90 Feet Road,Moderate Risk,
12,90 Feet Road,Jan-Mar,2027.0,16121.0,90 Feet Road,Moderate Risk,
13,90 Feet Road,Apr-Jun,2027.0,16211.0,90 Feet Road,Moderate Risk,
14,90 Feet Road,Jul-Sep,2027.0,16268.5,90 Feet Road,Moderate Risk,
15,90 Feet Road,Oct-Dec,2027.0,16551.5,90 Feet Road,Moderate Risk,
16,90 Feet Road,Jan-Mar,2028.0,16838.5,90 Feet Road,Moderate Risk,
17,90 Feet Road,Apr-Jun,2028.0,16863.97,90 Feet Road,Moderate Risk,
18,90 Feet Road,Jul-Sep,2028.0,16931.89,90 Feet Road,Moderate Risk,
19,90 Feet Road,Oct-Dec,2028.0,17253.28,90 Feet Road,Moderate Risk,
20,90 Feet Road,Jan-Mar,2029.0,17465.0,90 Feet Road,Moderate Risk,
21,90 Feet Road,Apr-Jun,2029.0,17577.47,90 Feet Road,Moderate Risk,
22,90 Feet Road,Jul-Sep,2029.0,17700.39,90 Feet Road,Moderate Risk,
23,90 Feet Road,Oct-Dec,2029.0,18158.56,90 Feet Road,Moderate Risk,
24,90 Feet Road,Jan-Mar,2030.0,18862.61,90 Feet Road,Moderate Risk,
25,90 Feet Road,Apr-Jun,2030.0,19026.31,90 Feet Road,Moderate Risk,
26,90 Feet Road,Jul-Sep,2030.0,19551.34,90 Feet Road,Moderate Risk,
27,90 Feet Road,Oct-Dec,2030.0,19814.4,90 Feet Road,Moderate Risk,
28,Aarey Road,Jan-Mar,2024.0,18774.29,Aarey Road,Moderate Risk,
29,Aarey Road,Apr-Jun,2024.0,18865.64,Aarey Road,Moderate Risk,
30,Aarey Road,Jul-Sep,2024.0,19054.73833,Aarey Road,Moderate Risk,
31,Aarey Road,Oct-Dec,2024.0,18873.685,Aarey Road,Moderate Risk,
32,Aarey Road,Jan-Mar,2025.0,20138.15,Aarey Road,Moderate Risk,
33,Aarey Road,Apr-Jun,2025.0,20898.225,Aarey Road,Moderate Risk,
34,Aarey Road,Jul-Sep,2025.0,18973.97983,Aarey Road,Moderate Risk,
35,Aarey Road,Oct-Dec,2025.0,17349.494,Aarey Road,Moderate Risk,
36,Aarey Road,Jan-Mar,2026.0,15844.5,Aarey Road,Moderate Risk,
37,Aarey Road,Apr-Jun,2026.0,15922.46,Aarey Road,Moderate Risk,
38,Aarey Road,Jul-Sep,2026.0,15928.725,Aarey Road,Moderate Risk,
39,Aarey Road,Oct-Dec,2026.0,16063.725,Aarey Road,Moderate Risk,
40,Aarey Road,Jan-Mar,2027.0,16183.0,Aarey Road,Moderate Risk,
41,Aarey Road,Apr-Jun,2027.0,16253.5,Aarey Road,Moderate Risk,
42,Aarey Road,Jul-Sep,2027.0,16297.0,Aarey Road,Moderate Risk,
43,Aarey Road,Oct-Dec,2027.0,16574.0,Aarey Road,Moderate Risk,
44,Aarey Road,Jan-Mar,2028.0,16932.0,Aarey Road,Moderate Risk,
45,Aarey Road,Apr-Jun,2028.0,16978.0,Aarey Road,Moderate Risk,
46,Aarey Road,Jul-Sep,2028.0,17012.225,Aarey Road,Moderate Risk,
47,Aarey Road,Oct-Dec,2028.0,17339.5,Aarey Road,Moderate Risk,
48,Aarey Road,Jan-Mar,2029.0,17566.5,Aarey Road,Moderate Risk,
49,Aarey Road,Apr-Jun,2029.0,17666.5,Aarey Road,Moderate Risk,
50,Aarey Road,Jul-Sep,2029.0,17755.0,Aarey Road,Moderate Risk,
51,Aarey Road,Oct-Dec,2029.0,18116.5,Aarey Road,Moderate Risk,
52,Aarey Road,Jan-Mar,2030.0,18774.29,Aarey Road,Moderate Risk,
53,Aarey Road,Apr-Jun,2030.0,18865.64,Aarey Road,Moderate Risk,
54,Aarey Road,Jul-Sep,2030.0,19054.73833,Aarey Road,Moderate Risk,
55,Aarey Road,Oct-Dec,2030.0,18873.685,Aarey Road,Moderate Risk,
56,Adi Shankaracharya Marg,Jan-Mar,2024.0,29703.5,Adi Shankaracharya Marg,Moderate Risk,
57,Adi Shankaracharya Marg,Apr-Jun,2024.0,29824.0,Adi Shankaracharya Marg,Moderate Risk,
58,Adi Shankaracharya Marg,Jul-Sep,2024.0,29744.5,Adi Shankaracharya Marg,Moderate Risk,
59,Adi Shankaracharya Marg,Oct-Dec,2024.0,29883.0,Adi Shankaracharya Marg,Moderate Risk,
60,Adi Shankaracharya Marg,Jan-Mar,2025.0,31069.0,Adi Shankaracharya Marg,Moderate Risk,
61,Adi Shankaracharya Marg,Apr-Jun,2025.0,31031.0,Adi Shankaracharya Marg,Moderate Risk,
62,Adi Shankaracharya Marg,Jul-Sep,2025.0,27971.0,Adi Shankaracharya Marg,Moderate Risk,
63,Adi Shankaracharya Marg,Oct-Dec,2025.0,27540.0,Adi Shankaracharya Marg,Moderate Risk,
64,Adi Shankaracharya Marg,Jan-Mar,2026.0,27212.0,Adi Shankaracharya Marg,Moderate Risk,
65,Adi Shankaracharya Marg,Apr-Jun,2026.0,27127.5,Adi Shankaracharya Marg,Moderate Risk,
66,Adi Shankaracharya Marg,Jul-Sep,2026.0,27136.0,Adi Shankaracharya Marg,Moderate Risk,
67,Adi Shankaracharya Marg,Oct-Dec,2026.0,26830.68,Adi Shankaracharya Marg,Moderate Risk,
68,Adi Shankaracharya Marg,Jan-Mar,2027.0,27346.0,Adi Shankaracharya Marg,Moderate Risk,
69,Adi Shankaracharya Marg,Apr-Jun,2027.0,27338.5,Adi Shankaracharya Marg,Moderate Risk,
70,Adi Shankaracharya Marg,Jul-Sep,2027.0,27519.0,Adi Shankaracharya Marg,Moderate Risk,
71,Adi Shankaracharya Marg,Oct-Dec,2027.0,27088.77,Adi Shankaracharya Marg,Moderate Risk,
72,Adi Shankaracharya Marg,Jan-Mar,2028.0,28549.0,Adi Shankaracharya Marg,Moderate Risk,
73,Adi Shankaracharya Marg,Apr-Jun,2028.0,28680.0,Adi Shankaracharya Marg,Moderate Risk,
74,Adi Shankaracharya Marg,Jul-Sep,2028.0,28204.0,Adi Shankaracharya Marg,Moderate Risk,
75,Adi Shankaracharya Marg,Oct-Dec,2028.0,28268.0,Adi Shankaracharya Marg,Moderate Risk,
76,Adi Shankaracharya Marg,Jan-Mar,2029.0,28727.5,Adi Shankaracharya Marg,Moderate Risk,
77,Adi Shankaracharya Marg,Apr-Jun,2029.0,28806.0,Adi Shankaracharya Marg,Moderate Risk,
78,Adi Shankaracharya Marg,Jul-Sep,2029.0,29003.5,Adi Shankaracharya Marg,Moderate Risk,
79,Adi Shankaracharya Marg,Oct-Dec,2029.0,28892.09,Adi Shankaracharya Marg,Moderate Risk,
80,Adi Shankaracharya Marg,Jan-Mar,2030.0,29703.5,Adi Shankaracharya Marg,Moderate Risk,
81,Adi Shankaracharya Marg,Apr-Jun,2030.0,29824.0,Adi Shankaracharya Marg,Moderate Risk,
82,Adi Shankaracharya Marg,Jul-Sep,2030.0,29744.5,Adi Shankaracharya Marg,Moderate Risk,
