location,quarter,year,predicted_price,Locality,Risk
90 Feet Road,Jan-Mar,2024,18862.61,90 Feet Road,Moderate
90 Feet Road,Apr-Jun,2024,19026.31,90 Feet Road,Moderate
90 Feet Road,Jul-Sep,2024,19551.34,90 Feet Road,Moderate
90 Feet Road,Oct-Dec,2024,19814.4,90 Feet Road,Moderate
90 Feet Road,Jan-Mar,2025,21005.49,90 Feet Road,Moderate
90 Feet Road,Apr-Jun,2025,21106.92,90 Feet Road,Moderate
90 Feet Road,Jul-Sep,2025,19164.2855,90 Feet Road,Moderate
90 Feet Road,Oct-Dec,2025,18336.49067,90 Feet Road,Moderate
90 Feet Road,Jan-Mar,2026,15797.91,90 Feet Road,Moderate
90 Feet Road,Apr-Jun,2026,15866.47,90 Feet Road,Moderate
90 Feet Road,Jul-Sep,2026,15942.66,90 Feet Road,Moderate
90 Feet Road,Oct-Dec,2026,16078.66,90 Feet Road,Moderate
90 Feet Road,Jan-Mar,2027,16121,90 Feet Road,Moderate
90 Feet Road,Apr-Jun,2027,16211,90 Feet Road,Moderate
90 Feet Road,Jul-Sep,2027,16268.5,90 Feet Road,Moderate
90 Feet Road,Oct-Dec,2027,16551.5,90 Feet Road,Moderate
90 Feet Road,Jan-Mar,2028,16838.5,90 Feet Road,Moderate
90 Feet Road,Apr-Jun,2028,16863.97,90 Feet Road,Moderate
90 Feet Road,Jul-Sep,2028,16931.89,90 Feet Road,Moderate
90 Feet Road,Oct-Dec,2028,17253.28,90 Feet Road,Moderate
90 Feet Road,Jan-Mar,2029,17465,90 Feet Road,Moderate
90 Feet Road,Apr-Jun,2029,17577.47,90 Feet Road,Moderate
90 Feet Road,Jul-Sep,2029,17700.39,90 Feet Road,Moderate
90 Feet Road,Oct-Dec,2029,18158.56,90 Feet Road,Moderate
90 Feet Road,Jan-Mar,2030,18862.61,90 Feet Road,Moderate
90 Feet Road,Apr-Jun,2030,19026.31,90 Feet Road,Moderate
90 Feet Road,Jul-Sep,2030,19551.34,90 Feet Road,Moderate
90 Feet Road,Oct-Dec,2030,19814.4,90 Feet Road,Moderate
Aarey Road,Jan-Mar,2024,18774.29,Aarey Road,Moderate
Aarey Road,Apr-Jun,2024,18865.64,Aarey Road,Moderate
Aarey Road,Jul-Sep,2024,19054.73833,Aarey Road,Moderate
Aarey Road,Oct-Dec,2024,18873.685,Aarey Road,Moderate
Aarey Road,Jan-Mar,2025,20138.15,Aarey Road,Moderate
Aarey Road,Apr-Jun,2025,20898.225,Aarey Road,Moderate
Aarey Road,Jul-Sep,2025,18973.97983,Aarey Road,Moderate
Aarey Road,Oct-Dec,2025,17349.494,Aarey Road,Moderate
Aarey Road,Jan-Mar,2026,15844.5,Aarey Road,Moderate
Aarey Road,Apr-Jun,2026,15922.46,Aarey Road,Moderate
Aarey Road,Jul-Sep,2026,15928.725,Aarey Road,Moderate
Aarey Road,Oct-Dec,2026,16063.725,Aarey Road,Moderate
Aarey Road,Jan-Mar,2027,16183,Aarey Road,Moderate
Aarey Road,Apr-Jun,2027,16253.5,Aarey Road,Moderate
Aarey Road,Jul-Sep,2027,16297,Aarey Road,Moderate
Aarey Road,Oct-Dec,2027,16574,Aarey Road,Moderate
Aarey Road,Jan-Mar,2028,16932,Aarey Road,Moderate
Aarey Road,Apr-Jun,2028,16978,Aarey Road,Moderate
Aarey Road,Jul-Sep,2028,17012.225,Aarey Road,Moderate
Aarey Road,Oct-Dec,2028,17339.5,Aarey Road,Moderate
Aarey Road,Jan-Mar,2029,17566.5,Aarey Road,Moderate
Aarey Road,Apr-Jun,2029,17666.5,Aarey Road,Moderate
Aarey Road,Jul-Sep,2029,17755,Aarey Road,Moderate
Aarey Road,Oct-Dec,2029,18116.5,Aarey Road,Moderate
Aarey Road,Jan-Mar,2030,18774.29,Aarey Road,Moderate
Aarey Road,Apr-Jun,2030,18865.64,Aarey Road,Moderate
Aarey Road,Jul-Sep,2030,19054.73833,Aarey Road,Moderate
Aarey Road,Oct-Dec,2030,18873.685,Aarey Road,Moderate
Adi Shankaracharya Marg,Jan-Mar,2024,29703.5,Adi Shankaracharya Marg,Moderate
Adi Shankaracharya Marg,Apr-Jun,2024,29824,Adi Shankaracharya Marg,Moderate
Adi Shankaracharya Marg,Jul-Sep,2024,29744.5,Adi Shankaracharya Marg,Moderate
Adi Shankaracharya Marg,Oct-Dec,2024,29883,Adi Shankaracharya Marg,Moderate
Adi Shankaracharya Marg,Jan-Mar,2025,31069,Adi Shankaracharya Marg,Moderate
Adi Shankaracharya Marg,Apr-Jun,2025,31031,Adi Shankaracharya Marg,Moderate
Adi Shankaracharya Marg,Jul-Sep,2025,27971,Adi Shankaracharya Marg,Moderate
Adi Shankaracharya Marg,Oct-Dec,2025,27540,Adi Shankaracharya Marg,Moderate
