,locality,Economic  Factor,Sentiment Score,Sentiment,location,Quarter Period,Year,min_price,max_price,Average Price,Risk
0,90 Feet Road,Moderate property prices and rental yields; local amenities support demand.,0.296,Positive,90 Feet Road,Jan-Mar,2024.0,13897.80519,23827.41481,18862.61,Moderate
1,90 Feet Road,Moderate property prices and rental yields; local amenities support demand.,0.296,Positive,90 Feet Road,Apr-Jun,2024.0,14018.41791,24034.20209,19026.31,Moderate
2,90 Feet Road,Moderate property prices and rental yields; local amenities support demand.,0.296,Positive,90 Feet Road,Jul-Sep,2024.0,14405.2554,24697.4246,19551.34,Moderate
3,90 Feet Road,Moderate property prices and rental yields; local amenities support demand.,0.296,Positive,90 Feet Road,Oct-Dec,2024.0,14599.0757,25029.7243,19814.4,Moderate
4,90 Feet Road,Moderate property prices and rental yields; local amenities support demand.,0.296,Positive,90 Feet Road,Jan-Mar,2025.0,15476.66033,26534.31967,21005.49,Moderate
5,90 Feet Road,Moderate property prices and rental yields; local amenities support demand.,0.296,Positive,90 Feet Road,Apr-Jun,2025.0,15551.39307,26662.44693,21106.92,Moderate
6,90 Feet Road,Moderate property prices and rental yields; local amenities support demand.,0.296,Positive,90 Feet Road,Jul-Sep,2025.0,14120.07705,24208.49395,19164.2855,Moderate
7,90 Feet Road,Moderate property prices and rental yields; local amenities support demand.,0.296,Positive,90 Feet Road,Oct-Dec,2025.0,13510.16509,23162.81624,18336.49067,Moderate
8,90 Feet Road,Moderate property prices and rental yields; local amenities support demand.,0.296,Positive,90 Feet Road,Jan-Mar,2026.0,11639.76118,19956.05882,15797.91,Moderate
9,90 Feet Road,Moderate property prices and rental yields; local amenities support demand.,0.296,Positive,90 Feet Road,Apr-Jun,2026.0,11690.27559,20042.66441,15866.47,Moderate
10,90 Feet Road,Moderate property prices and rental yields; local amenities support demand.,0.296,Positive,90 Feet Road,Jul-Sep,2026.0,11746.41171,20138.90829,15942.66,Moderate
11,90 Feet Road,Moderate property prices and rental yields; local amenities support demand.,0.296,Positive,90 Feet Road,Oct-Dec,2026.0,11846.61531,20310.70469,16078.66,Moderate
12,90 Feet Road,Moderate property prices and rental yields; local amenities support demand.,0.296,Positive,90 Feet Road,Jan-Mar,2027.0,11877.81105,20364.18895,16121.0,Moderate
13,90 Feet Road,Moderate property prices and rental yields; local amenities support demand.,0.296,Positive,90 Feet Road,Apr-Jun,2027.0,11944.12226,20477.87774,16211.0,Moderate
14,90 Feet Road,Moderate property prices and rental yields; local amenities support demand.,0.296,Positive,90 Feet Road,Jul-Sep,2027.0,11986.48775,20550.51225,16268.5,Moderate
15,90 Feet Road,Moderate property prices and rental yields; local amenities support demand.,0.296,Positive,90 Feet Road,Oct-Dec,2027.0,12194.99967,20908.00033,16551.5,Moderate
16,90 Feet Road,Moderate property prices and rental yields; local amenities support demand.,0.296,Positive,90 Feet Road,Jan-Mar,2028.0,12406.45874,21270.54126,16838.5,Moderate
17,90 Feet Road,Moderate property prices and rental yields; local amenities support demand.,0.296,Positive,90 Feet Road,Apr-Jun,2028.0,12425.22481,21302.71519,16863.97,Moderate
18,90 Feet Road,Moderate property prices and rental yields; local amenities support demand.,0.296,Positive,90 Feet Road,Jul-Sep,2028.0,12475.26767,21388.51233,16931.89,Moderate
19,90 Feet Road,Moderate property prices and rental yields; local amenities support demand.,0.296,Positive,90 Feet Road,Oct-Dec,2028.0,12712.065,21794.495,17253.28,Moderate
20,90 Feet Road,Moderate property prices and rental yields; local amenities support demand.,0.296,Positive,90 Feet Road,Jan-Mar,2029.0,12868.05843,22061.94157,17465.0,Moderate
21,90 Feet Road,Moderate property prices and rental yields; local amenities support demand.,0.296,Positive,90 Feet Road,Apr-Jun,2029.0,12950.92534,22204.01466,17577.47,Moderate
