location,quarter,year,avg_price
90 Feet Road,Jan-Mar,2024,18862.61
90 Feet Road,Apr-Jun,2024,19026.31
90 Feet Road,Jul-Sep,2024,19551.34
90 Feet Road,Oct-Dec,2024,19814.4
90 Feet Road,Jan-Mar,2025,21005.49
90 Feet Road,Apr-Jun,2025,21106.92
90 Feet Road,Jul-Sep,2025,19164.2855
90 Feet Road,Oct-Dec,2025,18336.49067
90 Feet Road,Jan-Mar,2026,15797.91
90 Feet Road,Apr-Jun,2026,15866.47
90 Feet Road,Jul-Sep,2026,15942.66
90 Feet Road,Oct-Dec,2026,16078.66
90 Feet Road,Jan-Mar,2027,16121
90 Feet Road,Apr-Jun,2027,16211
90 Feet Road,Jul-Sep,2027,16268.5
90 Feet Road,Oct-Dec,2027,16551.5
90 Feet Road,Jan-Mar,2028,16838.5
90 Feet Road,Apr-Jun,2028,16863.97
90 Feet Road,Jul-Sep,2028,16931.89
90 Feet Road,Oct-Dec,2028,17253.28
90 Feet Road,Jan-Mar,2029,17465
90 Feet Road,Apr-Jun,2029,17577.47
90 Feet Road,Jul-Sep,2029,17700.39
90 Feet Road,Oct-Dec,2029,18158.56
90 Feet Road,Jan-Mar,2030,18862.61
90 Feet Road,Apr-Jun,2030,19026.31
90 Feet Road,Jul-Sep,2030,19551.34
90 Feet Road,Oct-Dec,2030,19814.4
Aarey Road,Jan-Mar,2024,18774.29
Aarey Road,Apr-Jun,2024,18865.64
Aarey Road,Jul-Sep,2024,19054.73833
Aarey Road,Oct-Dec,2024,18873.685
Aarey Road,Jan-Mar,2025,20138.15
Aarey Road,Apr-Jun,2025,20898.225
Aarey Road,Jul-Sep,2025,18973.97983
Aarey Road,Oct-Dec,2025,17349.494
Aarey Road,Jan-Mar,2026,15844.5
Aarey Road,Apr-Jun,2026,15922.46
Aarey Road,Jul-Sep,2026,15928.725
Aarey Road,Oct-Dec,2026,16063.725
Aarey Road,Jan-Mar,2027,16183
Aarey Road,Apr-Jun,2027,16253.5
Aarey Road,Jul-Sep,2027,16297
Aarey Road,Oct-Dec,2027,16574
Aarey Road,Jan-Mar,2028,16932
Aarey Road,Apr-Jun,2028,16978
Aarey Road,Jul-Sep,2028,17012.225
Aarey Road,Oct-Dec,2028,17339.5
Aarey Road,Jan-Mar,2029,17566.5
Aarey Road,Apr-Jun,2029,17666.5
Aarey Road,Jul-Sep,2029,17755
Aarey Road,Oct-Dec,2029,18116.5
Aarey Road,Jan-Mar,2030,18774.29
Aarey Road,Apr-Jun,2030,18865.64
Aarey Road,Jul-Sep,2030,19054.73833
Aarey Road,Oct-Dec,2030,18873.685
Adi Shankaracharya Marg,Jan-Mar,2024,29703.5
Adi Shankaracharya Marg,Apr-Jun,2024,29824
Adi Shankaracharya Marg,Jul-Sep,2024,29744.5
Adi Shankaracharya Marg,Oct-Dec,2024,29883
Adi Shankaracharya Marg,Jan-Mar,2025,31069
Adi Shankaracharya Marg,Apr-Jun,2025,31031
Adi Shankaracharya Marg,Jul-Sep,2025,27971
Adi Shankaracharya Marg,Oct-Dec,2025,27540
Adi Shankaracharya Marg,Jan-Mar,2026,27212
Adi Shankaracharya Marg,Apr-Jun,2026,27127.5
Adi Shankaracharya Marg,Jul-Sep,2026,27136
Adi Shankaracharya Marg,Oct-Dec,2026,26830.68
Adi Shankaracharya Marg,Jan-Mar,2027,27346
Adi Shankaracharya Marg,Apr-Jun,2027,27338.5
Adi Shankaracharya Marg,Jul-Sep,2027,27519
Adi Shankaracharya Marg,Oct-Dec,2027,27088.77
Adi Shankaracharya Marg,Jan-Mar,2028,28549
Adi Shankaracharya Marg,Apr-Jun,2028,28680
Adi Shankaracharya Marg,Jul-Sep,2028,28204
Adi Shankaracharya Marg,Oct-Dec,2028,28268
Adi Shankaracharya Marg,Jan-Mar,2029,28727.5
Adi Shankaracharya Marg,Apr-Jun,2029,28806
Adi Shankaracharya Marg,Jul-Sep,2029,29003.5
Adi Shankaracharya Marg,Oct-Dec,2029,28892.09
Adi Shankaracharya Marg,Jan-Mar,2030,29703.5
Adi Shankaracharya Marg,Apr-Jun,2030,29824
Adi Shankaracharya Marg,Jul-Sep,2030,29744.5
Adi Shankaracharya Marg,Oct-Dec,2030,29883
Agrawal Road,Jan-Mar,2024,19960.38
Agrawal Road,Apr-Jun,2024,19881.59
Agrawal Road,Jul-Sep,2024,19590.84
Agrawal Road,Oct-Dec,2024,19638.84
Agrawal Road,Jan-Mar,2025,19825
Agrawal Road,Apr-Jun,2025,19374.5
Agrawal Road,Jul-Sep,2025,17730.22
Agrawal Road,Oct-Dec,2025,17260.6
Agrawal Road,Jan-Mar,2026,17310.5
Agrawal Road,Apr-Jun,2026,17259.5
Agrawal Road,Jul-Sep,2026,17290
Agrawal Road,Oct-Dec,2026,17230.4
Agrawal Road,Jan-Mar,2027,17511
Agrawal Road,Apr-Jun,2027,17527.5
Agrawal Road,Jul-Sep,2027,17605.5
Agrawal Road,Oct-Dec,2027,17690.77
Agrawal Road,Jan-Mar,2028,18826.92
Agrawal Road,Apr-Jun,2028,18511.5
Agrawal Road,Jul-Sep,2028,18386.5
Agrawal Road,Oct-Dec,2028,18431.5
Agrawal Road,Jan-Mar,2029,19428.02
Agrawal Road,Apr-Jun,2029,19344.14
Agrawal Road,Jul-Sep,2029,19295
Agrawal Road,Oct-Dec,2029,19404.19
Agrawal Road,Jan-Mar,2030,19960.38
Agrawal Road,Apr-Jun,2030,19881.59
Agrawal Road,Jul-Sep,2030,19590.84
Agrawal Road,Oct-Dec,2030,19638.84
Akurli Nagar,Jan-Mar,2024,16107.28
Akurli Nagar,Apr-Jun,2024,16370.97
Akurli Nagar,Jul-Sep,2024,16680.06333
Akurli Nagar,Oct-Dec,2024,16627.39
Akurli Nagar,Jan-Mar,2025,18575.79
Akurli Nagar,Apr-Jun,2025,19282.64
Akurli Nagar,Jul-Sep,2025,15206.58067
Akurli Nagar,Oct-Dec,2025,14311.93667
Akurli Nagar,Jan-Mar,2026,15737.13
Akurli Nagar,Apr-Jun,2026,15631.27
Akurli Nagar,Jul-Sep,2026,15843.39
Akurli Nagar,Oct-Dec,2026,15726.52
Akurli Nagar,Jan-Mar,2027,15827.18
Akurli Nagar,Apr-Jun,2027,15748.18
Akurli Nagar,Jul-Sep,2027,15818.26
Akurli Nagar,Oct-Dec,2027,15741.92
Akurli Nagar,Jan-Mar,2028,14755.81
Akurli Nagar,Apr-Jun,2028,14738.75
Akurli Nagar,Jul-Sep,2028,14494.342
Akurli Nagar,Oct-Dec,2028,14361.64
Akurli Nagar,Jan-Mar,2029,15009.04
Akurli Nagar,Apr-Jun,2029,15230.64
Akurli Nagar,Jul-Sep,2029,15493.78
Akurli Nagar,Oct-Dec,2029,15586.21
Akurli Nagar,Jan-Mar,2030,16107.28
Akurli Nagar,Apr-Jun,2030,16370.97
Akurli Nagar,Jul-Sep,2030,16680.06333
Akurli Nagar,Oct-Dec,2030,16627.39
Akurli Road,Jan-Mar,2024,17554.64
Akurli Road,Apr-Jun,2024,17778.06
Akurli Road,Jul-Sep,2024,17752.86
Akurli Road,Oct-Dec,2024,17929.06667
Akurli Road,Jan-Mar,2025,18816.26
Akurli Road,Apr-Jun,2025,19188.55
Akurli Road,Jul-Sep,2025,14177.40733
Akurli Road,Oct-Dec,2025,13560.11
Akurli Road,Jan-Mar,2026,9822.34
Akurli Road,Apr-Jun,2026,9755
Akurli Road,Jul-Sep,2026,10120
Akurli Road,Oct-Dec,2026,10490
Akurli Road,Jan-Mar,2027,11200
Akurli Road,Apr-Jun,2027,11615
Akurli Road,Jul-Sep,2027,11950
Akurli Road,Oct-Dec,2027,12260
Akurli Road,Jan-Mar,2028,13473.74
Akurli Road,Apr-Jun,2028,13817.21
Akurli Road,Jul-Sep,2028,14013.89867
Akurli Road,Oct-Dec,2028,13729.28667
Akurli Road,Jan-Mar,2029,15266.29
Akurli Road,Apr-Jun,2029,15485.64
Akurli Road,Jul-Sep,2029,16208.06
Akurli Road,Oct-Dec,2029,16593.39
Akurli Road,Jan-Mar,2030,17554.64
Akurli Road,Apr-Jun,2030,17778.06
Akurli Road,Jul-Sep,2030,17752.86
Akurli Road,Oct-Dec,2030,17929.06667
Ambedkar Road,Jan-Mar,2024,17915.97
Ambedkar Road,Apr-Jun,2024,18312.39
Ambedkar Road,Jul-Sep,2024,18297.518
Ambedkar Road,Oct-Dec,2024,17022.14
Ambedkar Road,Jan-Mar,2025,18067.48
Ambedkar Road,Apr-Jun,2025,18189.194
Ambedkar Road,Jul-Sep,2025,13041.35186
Ambedkar Road,Oct-Dec,2025,11003.53467
Ambedkar Road,Jan-Mar,2026,10255.02
Ambedkar Road,Apr-Jun,2026,10440
Ambedkar Road,Jul-Sep,2026,10887.575
Ambedkar Road,Oct-Dec,2026,11255
Ambedkar Road,Jan-Mar,2027,11900
Ambedkar Road,Apr-Jun,2027,12330
Ambedkar Road,Jul-Sep,2027,12793.06
Ambedkar Road,Oct-Dec,2027,12750
Ambedkar Road,Jan-Mar,2028,14086.04
Ambedkar Road,Apr-Jun,2028,14426.76
Ambedkar Road,Jul-Sep,2028,14768.17333
Ambedkar Road,Oct-Dec,2028,13573.39667
Ambedkar Road,Jan-Mar,2029,15782.8
Ambedkar Road,Apr-Jun,2029,15861.94
Ambedkar Road,Jul-Sep,2029,16691.68
Ambedkar Road,Oct-Dec,2029,16525.69
Ambedkar Road,Jan-Mar,2030,17915.97
Ambedkar Road,Apr-Jun,2030,18312.39
Ambedkar Road,Jul-Sep,2030,18297.518
Ambedkar Road,Oct-Dec,2030,17022.14
Amboli,Jan-Mar,2024,21735.02
Amboli,Apr-Jun,2024,22442.76
Amboli,Jul-Sep,2024,22544.212
Amboli,Oct-Dec,2024,22387.522
Amboli,Jan-Mar,2025,22633.03
Amboli,Apr-Jun,2025,22526.11
Amboli,Jul-Sep,2025,21877.204
Amboli,Oct-Dec,2025,21001.034
Amboli,Jan-Mar,2026,20399.87
Amboli,Apr-Jun,2026,20418.91
Amboli,Jul-Sep,2026,20125.44
Amboli,Oct-Dec,2026,19732.19
Amboli,Jan-Mar,2027,18593.52
Amboli,Apr-Jun,2027,18441.13
Amboli,Jul-Sep,2027,18353.22
Amboli,Oct-Dec,2027,18444.32
Amboli,Jan-Mar,2028,19838.51
Amboli,Apr-Jun,2028,19944.08
Amboli,Jul-Sep,2028,20406.55
Amboli,Oct-Dec,2028,20459.4
Amboli,Jan-Mar,2029,21262.36
Amboli,Apr-Jun,2029,21362.94
Amboli,Jul-Sep,2029,21982.37
Amboli,Oct-Dec,2029,21789.18
Amboli,Jan-Mar,2030,21735.02
Amboli,Apr-Jun,2030,22442.76
Amboli,Jul-Sep,2030,22544.212
Amboli,Oct-Dec,2030,22387.522
Andheri,Jan-Mar,2024,23437.26
Andheri,Apr-Jun,2024,23643.57
Andheri,Jul-Sep,2024,23962.86
Andheri,Oct-Dec,2024,24049.52
Andheri,Jan-Mar,2025,24318.1
Andheri,Apr-Jun,2025,24081.31
Andheri,Jul-Sep,2025,23474.75
Andheri,Oct-Dec,2025,22008.93
Andheri,Jan-Mar,2026,21403.08
Andheri,Apr-Jun,2026,21301.21
Andheri,Jul-Sep,2026,21071.67
Andheri,Oct-Dec,2026,21201.3
Andheri,Jan-Mar,2027,21190.07
Andheri,Apr-Jun,2027,21011.26
Andheri,Jul-Sep,2027,20785.71
Andheri,Oct-Dec,2027,21141.19
Andheri,Jan-Mar,2028,21766.14
Andheri,Apr-Jun,2028,21760.16
Andheri,Jul-Sep,2028,21952.41
Andheri,Oct-Dec,2028,22045.36
Andheri,Jan-Mar,2029,22079.93
Andheri,Apr-Jun,2029,22242.5
Andheri,Jul-Sep,2029,22512.28
Andheri,Oct-Dec,2029,22511.89
Andheri,Jan-Mar,2030,23437.26
Andheri,Apr-Jun,2030,23643.57
Andheri,Jul-Sep,2030,23962.86
Andheri,Oct-Dec,2030,24049.52
Andheri East,Jan-Mar,2024,20106.58
Andheri East,Apr-Jun,2024,20263.58
Andheri East,Jul-Sep,2024,20354.77
Andheri East,Oct-Dec,2024,20900.77
Andheri East,Jan-Mar,2025,20706.14
Andheri East,Apr-Jun,2025,20747.54
Andheri East,Jul-Sep,2025,18401.09417
Andheri East,Oct-Dec,2025,18295.98
Andheri East,Jan-Mar,2026,18130.84
Andheri East,Apr-Jun,2026,18156.15
Andheri East,Jul-Sep,2026,18109.99
Andheri East,Oct-Dec,2026,18164.13
Andheri East,Jan-Mar,2027,18073.81
Andheri East,Apr-Jun,2027,18133.03
Andheri East,Jul-Sep,2027,18025.7
Andheri East,Oct-Dec,2027,18010.17
Andheri East,Jan-Mar,2028,18436.27
Andheri East,Apr-Jun,2028,18669.71
Andheri East,Jul-Sep,2028,18541.50667
Andheri East,Oct-Dec,2028,18775.11
Andheri East,Jan-Mar,2029,19098.61
Andheri East,Apr-Jun,2029,19319.49
Andheri East,Jul-Sep,2029,19600.1
Andheri East,Oct-Dec,2029,19799.29
Andheri East,Jan-Mar,2030,20106.58
Andheri East,Apr-Jun,2030,20263.58
Andheri East,Jul-Sep,2030,20354.77
Andheri East,Oct-Dec,2030,20900.77
Andheri Kurla Road,Jan-Mar,2024,22326.76
Andheri Kurla Road,Apr-Jun,2024,23124.38
Andheri Kurla Road,Jul-Sep,2024,23647.65
Andheri Kurla Road,Oct-Dec,2024,24054.13
Andheri Kurla Road,Jan-Mar,2025,20613
