,Locality,Economic  Factor,Sentiment Score,Sentiment,Year,Quarter Period,Average Price,max_price,min_price,Risk
0,Airport Road,"While it's a prominent road with connectivity, the area faces fluctuations in demand due to proximity to the airport, resulting in mixed rental yields.",0.2023,Positive,2024,Jan-Mar,6858.92,8407.298249,5310.541751,Moderate
1,Airport Road,"While it's a prominent road with connectivity, the area faces fluctuations in demand due to proximity to the airport, resulting in mixed rental yields.",0.2023,Positive,2024,Apr-Jun,6494.38,7960.464563,5028.295437,Moderate
2,Airport Road,"While it's a prominent road with connectivity, the area faces fluctuations in demand due to proximity to the airport, resulting in mixed rental yields.",0.2023,Positive,2024,Jul-Sep,6384.003333,7825.170733,4942.835934,Moderate
3,Airport Road,"While it's a prominent road with connectivity, the area faces fluctuations in demand due to proximity to the airport, resulting in mixed rental yields.",0.2023,Positive,2024,Oct-Dec,6532.0675,8006.65989,5057.47511,Moderate
4,Airport Road,"While it's a prominent road with connectivity, the area faces fluctuations in demand due to proximity to the airport, resulting in mixed rental yields.",0.2023,Positive,2025,Jan-Mar,6738.23,8259.362885,5217.097115,Moderate
5,Airport Road,"While it's a prominent road with connectivity, the area faces fluctuations in demand due to proximity to the airport, resulting in mixed rental yields.",0.2023,Positive,2025,Apr-Jun,6732.876667,8252.801054,5212.952279,Moderate
6,Airport Road,"While it's a prominent road with connectivity, the area faces fluctuations in demand due to proximity to the airport, resulting in mixed rental yields.",0.2023,Positive,2025,Jul-Sep,6728.204833,8247.07457,5209.335096,Moderate
7,Airport Road,"While it's a prominent road with connectivity, the area faces fluctuations in demand due to proximity to the airport, resulting in mixed rental yields.",0.2023,Positive,2025,Oct-Dec,6846.6785,8392.293271,5301.063729,Moderate
8,Airport Road,"While it's a prominent road with connectivity, the area faces fluctuations in demand due to proximity to the airport, resulting in mixed rental yields.",0.2023,Positive,2026,Jan-Mar,7114.08,8720.059765,5508.100235,Moderate
9,Airport Road,"While it's a prominent road with connectivity, the area faces fluctuations in demand due to proximity to the airport, resulting in mixed rental yields.",0.2023,Positive,2026,Apr-Jun,7042.43,8632.235017,5452.624983,Moderate
