location,year,quarter,avg_price
100 feet ring road,2025,Jan-Mar,9835.323288342492
100 feet ring road,2025,Apr-Jun,9870.783968780801
100 feet ring road,2025,Jul-Sep,9906.372500619647
100 feet ring road,2025,Oct-Dec,9942.089344819746
100 feet ring road,2026,Jan-Mar,9977.934964003778
100 feet ring road,2026,Apr-Jun,10013.909822462385
100 feet ring road,2026,Jul-Sep,10050.014386160181
100 feet ring road,2026,Oct-Dec,10086.249122741789
100 feet ring road,2027,Jan-Mar,10122.614501537893
100 feet ring road,2027,Apr-Jun,10159.110993571327
100 feet ring road,2027,Jul-Sep,10195.739071563165
100 feet ring road,2027,Oct-Dec,10232.499209938851
100 feet ring road,2028,Jan-Mar,10269.391884834344
100 feet ring road,2028,Apr-Jun,10306.417574102281
100 feet ring road,2028,Jul-Sep,10343.57675731817
100 feet ring road,2028,Oct-Dec,10380.869915786598
100 feet ring road,2029,Jan-Mar,10418.297532547469
100 feet ring road,2029,Apr-Jun,10455.860092382261
100 feet ring road,2029,Jul-Sep,10493.5580818203
100 feet ring road,2029,Oct-Dec,10531.391989145066
100 feet ring road,2030,Jan-Mar,10569.362304400516
100 feet ring road,2030,Apr-Jun,10607.469519397433
100 feet ring road,2030,Jul-Sep,10645.714127719793
100 feet ring road,2030,Oct-Dec,10684.096624731163
11th main road malleshwaram,2025,Jan-Mar,9107.628275073308
11th main road malleshwaram,2025,Apr-Jun,9307.33358073721
11th main road malleshwaram,2025,Jul-Sep,9511.41787595863
11th main road malleshwaram,2025,Oct-Dec,9719.977179966909
11th main road malleshwaram,2026,Jan-Mar,9933.109617429702
11th main road malleshwaram,2026,Apr-Jun,10150.915464619471
11th main road malleshwaram,2026,Jul-Sep,10373.49719659227
11th main road malleshwaram,2026,Oct-Dec,10600.959535401043
11th main road malleshwaram,2027,Jan-Mar,10833.409499366098
11th main road malleshwaram,2027,Apr-Jun,11070.956453425957
11th main road malleshwaram,2027,Jul-Sep,11313.712160592253
11th main road malleshwaram,2027,Oct-Dec,11561.790834532894
11th main road malleshwaram,2028,Jan-Mar,11815.309193308236
11th main road malleshwaram,2028,Apr-Jun,12074.386514285537
11th main road malleshwaram,2028,Jul-Sep,12339.144690257543
11th main road malleshwaram,2028,Oct-Dec,12609.708286791587
11th main road malleshwaram,2029,Jan-Mar,12886.204600836209
11th main road malleshwaram,2029,Apr-Jun,13168.76372061285
11th main road malleshwaram,2029,Jul-Sep,13457.518586820815
11th main road malleshwaram,2029,Oct-Dec,13752.605055184287
11th main road malleshwaram,2030,Jan-Mar,14054.161960370822
11th main road malleshwaram,2030,Apr-Jun,14362.331181311412
11th main road malleshwaram,2030,Jul-Sep,14677.257707952827
11th main road malleshwaram,2030,Oct-Dec,14999.08970947366
aga abbas ali road,2025,Jan-Mar,13043.639360990386
aga abbas ali road,2025,Apr-Jun,13311.529940175737
aga abbas ali road,2025,Jul-Sep,13584.922462525115
aga abbas ali road,2025,Oct-Dec,13863.929927079671
aga abbas ali road,2026,Jan-Mar,14148.667653657576
aga abbas ali road,2026,Apr-Jun,14439.253330518206
aga abbas ali road,2026,Jul-Sep,14735.807063005243
aga abbas ali road,2026,Oct-Dec,15038.451423188804
aga abbas ali road,2027,Jan-Mar,15347.311500527136
aga abbas ali road,2027,Apr-Jun,15662.514953568789
aga abbas ali road,2027,Jul-Sep,15984.192062716658
aga abbas ali road,2027,Oct-Dec,16312.475784075688
aga abbas ali road,2028,Jan-Mar,16647.501804406507
aga abbas ali road,2028,Apr-Jun,16989.4085972077
aga abbas ali road,2028,Jul-Sep,17338.3374799499
aga abbas ali road,2028,Oct-Dec,17694.43267248535
aga abbas ali road,2029,Jan-Mar,18057.841356657093
aga abbas ali road,2029,Apr-Jun,18428.71373713241
aga abbas ali road,2029,Jul-Sep,18807.203103485648
aga abbas ali road,2029,Oct-Dec,19193.465893556127
aga abbas ali road,2030,Jan-Mar,19587.66175810728
aga abbas ali road,2030,Apr-Jun,19989.95362681375
aga abbas ali road,2030,Jul-Sep,20400.50777560377
aga abbas ali road,2030,Oct-Dec,20819.493895384592
akshayanagar,2025,Jan-Mar,9853.045046617486
akshayanagar,2025,Apr-Jun,10096.542500553629
akshayanagar,2025,Jul-Sep,10346.057486104908
akshayanagar,2025,Oct-Dec,10601.738714012046
akshayanagar,2026,Jan-Mar,10863.738570091502
akshayanagar,2026,Apr-Jun,11132.213206057291
akshayanagar,2026,Jul-Sep,11407.322632587297
akshayanagar,2026,Oct-Dec,11689.230814689508
akshayanagar,2027,Jan-Mar,11978.105769425041
akshayanagar,2027,Apr-Jun,12274.119666046177
akshayanagar,2027,Jul-Sep,12577.448928609105
akshayanagar,2027,Oct-Dec,12888.274341122524
akshayanagar,2028,Jan-Mar,13206.781155294779
akshayanagar,2028,Apr-Jun,13533.159200943732
akshayanagar,2028,Jul-Sep,13867.60299913519
akshayanagar,2028,Oct-Dec,14210.311878117313
akshayanagar,2029,Jan-Mar,14561.490092120095
akshayanagar,2029,Apr-Jun,14921.346943090733
akshayanagar,2029,Jul-Sep,15290.096905437424
akshayanagar,2029,Oct-Dec,15667.959753855946
akshayanagar,2030,Jan-Mar,16055.16069431522
akshayanagar,2030,Apr-Jun,16451.930498279882
akshayanagar,2030,Jul-Sep,16858.505640249903
akshayanagar,2030,Oct-Dec,17275.12843869922
amrutahalli,2025,Jan-Mar,7483.915664512403
amrutahalli,2025,Apr-Jun,7606.011270507011
amrutahalli,2025,Jul-Sep,7730.0987932563585
amrutahalli,2025,Oct-Dec,7856.210729690415
amrutahalli,2026,Jan-Mar,7984.3801069071205
amrutahalli,2026,Apr-Jun,8114.640490821754
amrutahalli,2026,Jul-Sep,8247.025994957417
amrutahalli,2026,Oct-Dec,8381.571289378933
amrutahalli,2027,Jan-Mar,8518.311609772483
amrutahalli,2027,Apr-Jun,8657.282766673387
amrutahalli,2027,Jul-Sep,8798.521154844419
amrutahalli,2027,Oct-Dec,8942.063762807133
amrutahalli,2028,Jan-Mar,9087.948182528677
amrutahalli,2028,Apr-Jun,9236.212619266653
amrutahalli,2028,Jul-Sep,9386.895901574577
amrutahalli,2028,Oct-Dec,9540.037491470583
amrutahalli,2029,Jan-Mar,9695.67749477202
amrutahalli,2029,Apr-Jun,9853.856671598649
amrutahalli,2029,Jul-Sep,10014.616447047192
amrutahalli,2029,Oct-Dec,10177.998922040044
amrutahalli,2030,Jan-Mar,10344.04688435095
amrutahalli,2030,Apr-Jun,10512.803819810586
amrutahalli,2030,Jul-Sep,10684.313923694932
amrutahalli,2030,Oct-Dec,10858.622112299454
anjanapura,2025,Jan-Mar,5843.012607109098
anjanapura,2025,Apr-Jun,5950.081881749824
anjanapura,2025,Jul-Sep,6059.113128808364
anjanapura,2025,Oct-Dec,6170.142300109192
